iter	RMSE
0	53883.87267
1	48911.10427
2	44245.54711
3	40327.99533
4	36574.10564
5	33174.13218
6	30099.76086
7	27332.29973
8	24816.87331
9	22606.40136
10	20604.43886
11	18757.11669
12	17079.12474
13	15571.8088
14	14250.76779
15	13058.25404
16	11980.28273
17	10964.77839
18	10116.61449
19	9282.111722
20	8566.852841
21	7917.097054
22	7344.742839
23	6823.490741
24	6386.561667
25	5997.799871
26	5676.742895
27	5346.660237
28	5076.715737
29	4829.223531
30	4605.683224
31	4413.476465
32	4258.46838
33	4105.637266
34	3984.294332
35	3881.833132
36	3793.564698
37	3706.91648
38	3635.693932
39	3575.590468
40	3527.464166
41	3461.160205
42	3422.901859
43	3390.246972
44	3358.378551
45	3328.231295
46	3296.416468
47	3262.5819
48	3239.903609
49	3218.124968
50	3192.309976
51	3177.118187
52	3155.114724
53	3139.85682
54	3123.027172
55	3098.506665
56	3090.239113
57	3075.405319
58	3065.927092
59	3051.792921
60	3040.178473
61	3028.507517
62	3017.300148
63	3003.851937
64	2994.0571
65	2982.625786
66	2975.634455
67	2970.468887
68	2956.639795
69	2952.438305
70	2945.112984
71	2934.314789
72	2927.645661
73	2922.541444
74	2912.250703
75	2903.514853
76	2885.214731
77	2881.168941
78	2870.233418
79	2863.869918
80	2860.016381
81	2851.34071
82	2838.914377
83	2834.928397
84	2831.800344
85	2825.379479
86	2822.19927
87	2810.235716
88	2805.136721
89	2798.000559
90	2794.533405
91	2790.13236
92	2780.727204
93	2773.834018
94	2767.929301
95	2757.437952
96	2741.224593
97	2735.830408
98	2723.370215
99	2716.9501
100	2709.972841
101	2704.328224
102	2697.845315
103	2694.19458
104	2684.144345
105	2679.227037
106	2676.209063
107	2669.750224
108	2663.43006
109	2660.060454
110	2654.769914
111	2648.682552
112	2642.338212
113	2637.319146
114	2634.722965
115	2623.661579
116	2620.210235
117	2616.99133
118	2602.796997
119	2595.318602
120	2588.145585
121	2577.149269
122	2571.57005
123	2566.908901
124	2561.856131
125	2554.788899
126	2550.855925
127	2546.099202
128	2535.660269
129	2531.250057
130	2524.928599
131	2519.636333
132	2515.709946
133	2509.825835
134	2505.356136
135	2502.656837
136	2498.013435
137	2494.27491
138	2486.775968
139	2482.000656
140	2478.364285
141	2473.595635
142	2469.809956
143	2460.447587
144	2456.362793
145	2449.777022
146	2447.459699
147	2445.100598
148	2439.572478
149	2435.917315
150	2430.622029
151	2426.540347
152	2423.045361
153	2419.786449
154	2410.928303
155	2407.210256
156	2400.325704
157	2397.446713
158	2394.316358
159	2392.936385
160	2386.748459
161	2381.717338
162	2379.178864
163	2376.059816
164	2368.527651
165	2365.376416
166	2362.076124
167	2357.895062
168	2354.667343
169	2351.889969
170	2344.942885
171	2336.3311
172	2333.665343
173	2331.238597
174	2327.654917
175	2324.685464
176	2323.593688
177	2317.39568
178	2313.504671
179	2309.67924
180	2305.895038
181	2300.447434
182	2298.164501
183	2293.399843
184	2290.196495
185	2287.429019
186	2284.223365
187	2280.04657
188	2271.691756
189	2264.890628
190	2260.123995
191	2257.759487
192	2256.465152
193	2253.421116
194	2251.594745
195	2249.92835
196	2246.187592
197	2243.256777
198	2239.453444
199	2236.926605
200	2227.834441
201	2222.428772
202	2219.897731
203	2217.727376
204	2213.387921
205	2208.459365
206	2203.783221
207	2201.442786
208	2198.896314
209	2193.816023
210	2191.230806
211	2187.408751
212	2184.247214
213	2183.389889
214	2180.705832
215	2174.444785
216	2172.019161
217	2169.923319
218	2166.914916
219	2164.648634
220	2162.973691
221	2160.083951
222	2156.857792
223	2153.180557
224	2150.930522
225	2148.711288
226	2146.063457
227	2142.771178
228	2140.718526
229	2138.680078
230	2136.137254
231	2131.83378
232	2127.755743
233	2124.804078
234	2118.875525
235	2114.868087
236	2112.051035
237	2109.401247
238	2107.486288
239	2105.1996
240	2102.509844
241	2098.942169
242	2096.128522
243	2094.538257
244	2091.294984
245	2089.475826
246	2085.746655
247	2083.053946
248	2080.742709
249	2078.992184
250	2077.326678
251	2075.79105
252	2072.44568
253	2070.030639
254	2064.698419
255	2061.497754
256	2059.890448
257	2058.427479
258	2056.614936
259	2055.346568
260	2053.519881
261	2052.039282
262	2049.355949
263	2045.049887
264	2044.372734
265	2042.060536
266	2040.619761
267	2036.667424
268	2034.852779
269	2032.737144
270	2030.388848
271	2028.781358
272	2026.472446
273	2024.401577
274	2020.440741
275	2018.320446
276	2015.492561
277	2013.202717
278	2011.724687
279	2009.99505
280	2007.077635
281	2005.17314
282	2002.845316
283	2001.640998
284	2001.047919
285	1998.004594
286	1995.966887
287	1995.316426
288	1993.701322
289	1992.731949
290	1991.109795
291	1986.391865
292	1985.200316
293	1982.826893
294	1980.040784
295	1978.698812
296	1975.753805
297	1974.399965
298	1972.79418
299	1970.004214
300	1968.407537
301	1965.551618
302	1963.675092
303	1961.172783
304	1958.258955
305	1956.609198
306	1953.280036
307	1949.939909
308	1948.521363
309	1946.94904
310	1945.136735
311	1943.094137
312	1941.166872
