iter	Passed	Remaining
0	0	1209
1	1	1088
2	2	1194
3	3	1148
4	3	1194
5	4	1157
6	5	1147
7	6	1139
8	6	1118
9	7	1154
10	8	1150
11	9	1131
12	9	1124
13	10	1122
14	11	1110
15	11	1102
16	12	1100
17	14	1197
18	15	1204
19	16	1226
20	17	1243
21	18	1255
22	19	1257
23	20	1260
24	21	1268
25	22	1267
26	23	1266
27	24	1264
28	24	1266
29	25	1263
30	26	1258
31	27	1270
32	28	1269
33	29	1270
34	30	1269
35	31	1269
36	32	1271
37	32	1266
38	34	1275
39	34	1276
40	35	1275
41	36	1276
42	37	1277
43	38	1280
44	39	1292
45	40	1295
46	41	1292
47	42	1296
48	43	1300
49	44	1299
50	45	1298
51	46	1299
52	47	1299
53	48	1307
54	49	1308
55	50	1311
56	51	1310
57	52	1306
58	53	1303
59	54	1301
60	55	1307
61	56	1309
62	57	1309
63	58	1313
64	59	1310
65	60	1306
66	60	1303
67	61	1302
68	62	1302
69	63	1302
70	64	1305
71	65	1303
72	67	1317
73	68	1314
74	69	1317
75	70	1320
76	71	1318
77	72	1318
78	73	1315
79	73	1311
80	74	1310
81	75	1308
82	76	1306
83	77	1308
84	79	1325
85	80	1324
86	81	1325
87	82	1327
88	83	1328
89	84	1326
90	85	1324
91	86	1324
92	87	1328
93	88	1326
94	89	1324
95	90	1321
96	91	1322
97	92	1320
98	93	1319
99	94	1320
100	95	1318
101	96	1316
102	97	1316
103	98	1320
104	99	1319
105	100	1320
106	101	1323
107	103	1330
108	104	1334
109	106	1343
110	108	1356
111	109	1357
112	110	1360
113	112	1363
114	113	1371
115	114	1371
116	115	1368
117	116	1366
118	117	1365
119	118	1362
120	119	1363
121	120	1364
122	121	1363
123	122	1361
124	123	1356
125	123	1352
126	124	1347
127	125	1343
128	126	1340
129	126	1335
130	127	1332
131	128	1331
132	129	1330
133	130	1327
134	131	1328
135	132	1324
136	133	1324
137	134	1322
138	134	1321
139	135	1319
140	136	1319
141	138	1320
142	138	1317
143	139	1315
144	140	1313
145	141	1311
146	142	1310
147	143	1309
148	144	1309
149	145	1307
150	146	1311
151	147	1308
152	148	1305
153	149	1303
154	149	1301
155	150	1299
156	151	1296
157	152	1294
158	153	1291
159	154	1293
160	155	1290
161	156	1289
162	156	1287
163	157	1285
164	159	1290
165	160	1290
166	161	1287
167	162	1285
168	162	1283
169	163	1282
170	165	1282
171	166	1281
172	166	1280
173	167	1279
174	169	1280
175	170	1279
176	170	1277
177	172	1281
178	173	1280
179	174	1279
180	175	1277
181	176	1281
182	177	1280
183	178	1279
184	179	1277
185	180	1275
186	181	1273
187	182	1272
188	183	1270
189	184	1269
190	184	1267
191	185	1264
192	186	1264
193	187	1264
194	188	1263
195	189	1262
196	190	1262
197	191	1260
198	192	1260
199	193	1259
200	194	1258
201	195	1257
202	196	1256
203	197	1254
204	198	1252
205	199	1252
206	200	1251
207	201	1249
208	202	1248
209	203	1248
210	204	1246
