<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
MTSS,D,05/01/04,00:00,117.1100000,125.0000000,117.1100000,125.0000000,19300
MTSS,D,06/01/04,00:00,123.0000000,128.0000000,123.0000000,127.0000000,22400
MTSS,D,08/01/04,00:00,126.8000000,129.2000000,125.5000000,129.2000000,8700
MTSS,D,09/01/04,00:00,129.0000000,130.0000000,128.0000000,128.6000100,10200
MTSS,D,12/01/04,00:00,128.0099900,130.0000000,124.1000000,126.0000000,8483
MTSS,D,13/01/04,00:00,127.9900000,128.0000000,125.5000000,126.0000000,13025
MTSS,D,14/01/04,00:00,127.0000000,127.5000000,126.5000000,127.0000000,20244
MTSS,D,15/01/04,00:00,125.5000000,125.5000000,121.0000000,123.0000000,10454
MTSS,D,16/01/04,00:00,124.7400000,125.0000000,123.5100000,125.0000000,11259
MTSS,D,19/01/04,00:00,125.9000000,126.0000000,125.0000000,126.0000000,1112
MTSS,D,20/01/04,00:00,126.0000000,127.0000000,125.5000000,126.0000000,81921
MTSS,D,21/01/04,00:00,128.0700100,131.3999900,128.0700100,129.5000000,34536
MTSS,D,22/01/04,00:00,132.7100100,140.8999900,132.0000000,140.5000000,63471
MTSS,D,23/01/04,00:00,138.0000000,145.0000000,135.0000000,140.0000000,57802
MTSS,D,26/01/04,00:00,140.0000000,141.0000000,135.0000000,136.5000000,24341
MTSS,D,27/01/04,00:00,138.3000000,141.5000000,137.0000000,140.0000000,29979
MTSS,D,28/01/04,00:00,136.1000100,145.0000000,136.0000000,139.0000000,14721
MTSS,D,29/01/04,00:00,138.0000000,140.0000000,136.0099900,139.0000000,6493
MTSS,D,30/01/04,00:00,136.2300000,139.0000000,135.0099900,135.7000000,14363
MTSS,D,02/02/04,00:00,138.0000000,139.3999900,136.5000000,138.0000000,6916
MTSS,D,03/02/04,00:00,139.8100000,139.8100000,138.0000000,139.5500000,2882
MTSS,D,04/02/04,00:00,139.5500000,143.0000000,139.0099900,139.0099900,11543
MTSS,D,05/02/04,00:00,140.0000000,140.0000000,137.0000000,137.0000000,9848
MTSS,D,06/02/04,00:00,135.0300000,138.0000000,135.0200000,138.0000000,4037
MTSS,D,09/02/04,00:00,140.0000000,144.0000000,138.0099900,144.0000000,6604
MTSS,D,10/02/04,00:00,144.8999900,148.0000000,144.0099900,144.6000100,17095
MTSS,D,11/02/04,00:00,144.0100000,144.6000000,143.3000000,144.0000000,15086
MTSS,D,12/02/04,00:00,149.0000000,149.0000000,146.0000000,147.5000000,17263
MTSS,D,13/02/04,00:00,147.9000000,149.0000000,146.5000000,147.0000000,17914
MTSS,D,16/02/04,00:00,149.0000000,149.0000000,146.5500000,147.0000000,7781
MTSS,D,17/02/04,00:00,146.6000000,152.0000000,146.6000000,151.0000000,52407
MTSS,D,18/02/04,00:00,153.0100000,155.0000000,148.0000000,149.9900000,83766
MTSS,D,19/02/04,00:00,149.9900000,149.9900000,147.0000000,149.0000000,10395
MTSS,D,20/02/04,00:00,151.0000000,152.5000000,149.5000000,150.0000000,20885
MTSS,D,24/02/04,00:00,148.5000000,148.5000000,143.0000000,145.0000000,133089
MTSS,D,25/02/04,00:00,149.0000000,149.0000000,145.0000000,146.9900000,3704
MTSS,D,26/02/04,00:00,147.0000000,149.5000000,145.6000000,146.0000000,30135
MTSS,D,27/02/04,00:00,149.3500000,149.3500000,146.0000000,147.5000000,46923
MTSS,D,01/03/04,00:00,148.3900000,151.0000000,147.1000000,150.8000000,16946
MTSS,D,02/03/04,00:00,152.5000000,152.6000000,149.0000000,150.5000000,17762
MTSS,D,03/03/04,00:00,147.5000000,150.5000000,147.5000000,150.0000000,8746
MTSS,D,04/03/04,00:00,150.3000000,152.0000000,148.5000000,152.0000000,14911
MTSS,D,05/03/04,00:00,153.3200000,158.0000000,153.3200000,156.0000000,37319
MTSS,D,09/03/04,00:00,157.4800000,159.0000000,155.0000000,157.8900000,12457
MTSS,D,10/03/04,00:00,158.9500000,158.9500000,154.0000000,155.0000000,13382
MTSS,D,11/03/04,00:00,151.0000000,153.9500000,150.0000000,152.9900000,19905
