<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
NVTK,D,18/08/06,000000,133.3500000,133.3500000,127.0100000,127.1100000,28292
NVTK,D,21/08/06,000000,132.0000000,132.1300000,125.0100000,130.0000000,237125
NVTK,D,22/08/06,000000,127.7000000,133.0000000,127.7000000,131.5000000,87178
NVTK,D,23/08/06,000000,131.5000000,139.0000000,129.0100000,135.0000000,183815
NVTK,D,24/08/06,000000,134.0100000,139.0000000,133.5000000,137.5000000,107381
NVTK,D,25/08/06,000000,140.0000000,140.0000000,136.0100000,137.0000000,218971
NVTK,D,28/08/06,000000,136.9800000,138.6800000,134.1000000,136.9900000,62630
NVTK,D,29/08/06,000000,136.0000000,137.5000000,133.0000000,135.9900000,102007
NVTK,D,30/08/06,000000,135.9800000,136.0000000,131.0600000,131.9000000,96085
NVTK,D,31/08/06,000000,131.9000000,132.7900000,129.0000000,129.3900000,70643
NVTK,D,01/09/06,000000,130.0000000,130.0100000,127.0000000,128.0000000,104009
NVTK,D,04/09/06,000000,130.9800000,130.9800000,127.2500000,129.0000000,53012
NVTK,D,05/09/06,000000,129.9900000,129.9900000,128.8700000,129.6000000,30796
NVTK,D,06/09/06,000000,130.0000000,130.0000000,128.5000000,129.0000000,21578
NVTK,D,07/09/06,000000,129.0000000,129.0000000,124.0000000,127.0000000,73694
NVTK,D,08/09/06,000000,125.0000000,130.2000000,125.0000000,129.0000000,8520
NVTK,D,11/09/06,000000,128.9900000,128.9900000,125.0000000,126.4900000,41137
NVTK,D,12/09/06,000000,125.5000000,131.9600000,123.5000000,123.6500000,103643
NVTK,D,13/09/06,000000,124.5000000,129.0000000,120.6700000,124.3600000,19201
NVTK,D,14/09/06,000000,125.0000000,127.4900000,125.0000000,125.5000000,76090
NVTK,D,15/09/06,000000,121.1000000,126.9900000,121.1000000,123.5000000,62441
NVTK,D,18/09/06,000000,126.9900000,126.9900000,122.2200000,124.0000000,15302
NVTK,D,19/09/06,000000,125.7900000,125.9200000,123.0800000,123.8800000,72576
NVTK,D,20/09/06,000000,123.4900000,123.8000000,118.0200000,120.7800000,50494
NVTK,D,21/09/06,000000,122.0300000,122.0300000,118.6000000,121.5000000,30749
NVTK,D,22/09/06,000000,118.6200000,121.4900000,114.0500000,120.8900000,36974
NVTK,D,25/09/06,000000,117.0000000,120.9900000,115.8000000,116.2000000,22551
NVTK,D,26/09/06,000000,116.2000000,124.9900000,116.2000000,123.1500000,42052
NVTK,D,27/09/06,000000,124.9900000,127.0000000,122.9500000,123.1000000,8768
NVTK,D,28/09/06,000000,126.9900000,136.3300000,123.0100000,134.9900000,219424
NVTK,D,29/09/06,000000,133.0000000,139.0000000,130.5000000,133.5000000,78072
NVTK,D,02/10/06,000000,134.9900000,142.0000000,133.0000000,138.0000000,96081
NVTK,D,03/10/06,000000,132.8800000,137.0000000,132.0000000,133.9900000,29355
NVTK,D,04/10/06,000000,131.1100000,139.0000000,130.0100000,135.9200000,74552
NVTK,D,05/10/06,000000,137.0000000,142.0000000,137.0000000,139.5000000,118464
NVTK,D,06/10/06,000000,136.0400000,140.0000000,136.0400000,139.9900000,46449
NVTK,D,09/10/06,000000,138.0400000,157.5000000,136.0300000,156.9000000,66618
NVTK,D,10/10/06,000000,159.9800000,170.0000000,147.1500000,149.0000000,63860
NVTK,D,11/10/06,000000,145.0100000,152.9500000,145.0100000,148.6000000,26656
NVTK,D,12/10/06,000000,148.9800000,149.9000000,145.8100000,147.8900000,59403
NVTK,D,13/10/06,000000,150.0000000,160.0000000,149.0000000,158.8600000,127243
NVTK,D,16/10/06,000000,159.5100000,162.0000000,157.0000000,158.2500000,23647
NVTK,D,17/10/06,000000,160.0000000,161.0000000,157.0000000,158.3700000,110449
NVTK,D,18/10/06,000000,158.9900000,159.8800000,157.0000000,158.9700000,152635
NVTK,D,19/10/06,000000,159.0000000,160.4000000,156.0000000,158.6900000,51258
NVTK,D,20/10/06,000000,160.0300000,160.0300000,147.9900000,148.8000000,194961
NVTK,D,23/10/06,000000,150.0000000,150.0000000,140.0000000,143.9900000,177825
NVTK,D,24/10/06,000000,143.5000000,143.5000000,140.0000000,141.4700000,75254
NVTK,D,25/10/06,000000,141.5000000,144.9000000,139.8000000,144.7700000,225774
NVTK,D,26/10/06,000000,147.7700000,149.0000000,145.0000000,146.5000000,272907
NVTK,D,27/10/06,000000,147.0000000,150.9400000,144.0100000,148.2600000,124548
NVTK,D,30/10/06,000000,147.5100000,150.5000000,146.0000000,148.0000000,150221
NVTK,D,31/10/06,000000,148.0000000,159.0000000,146.1000000,155.8000000,153176
NVTK,D,01/11/06,000000,157.9800000,161.0000000,153.4800000,158.0000000,97609
NVTK,D,02/11/06,000000,158.0000000,162.0000000,151.2100000,154.9500000,153179
NVTK,D,03/11/06,000000,155.0000000,158.8700000,154.0000000,156.8000000,307761
NVTK,D,07/11/06,000000,159.0000000,161.9800000,156.9000000,160.2500000,193151
NVTK,D,08/11/06,000000,159.9900000,161.9900000,158.0000000,158.1200000,126602
NVTK,D,09/11/06,000000,158.3200000,163.7900000,158.3200000,160.0200000,304355
NVTK,D,10/11/06,000000,160.0600000,160.0600000,158.1100000,159.0900000,60952
NVTK,D,13/11/06,000000,159.0000000,161.6800000,156.2400000,158.5900000,192634
NVTK,D,14/11/06,000000,156.0200000,160.5000000,156.0200000,159.7000000,86840
