<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
TRNFP,D,05/01/04,000000,17400.0000000,17900.0000000,17160.0000000,17750.0000000,171
TRNFP,D,06/01/04,000000,17998.0000000,19600.0000000,17790.0000000,19600.0000000,1906
TRNFP,D,08/01/04,000000,17700.0000000,19650.0000000,17700.0000000,19102.0000000,734
TRNFP,D,09/01/04,000000,19000.0000000,19300.0000000,18100.0000000,19300.0000000,1135
TRNFP,D,12/01/04,000000,19350.0000000,19899.9900000,19100.0000000,19100.0000000,425
TRNFP,D,13/01/04,000000,19100.0000000,19500.0000000,19000.0000000,19400.0000000,870
TRNFP,D,14/01/04,000000,19500.0000000,19600.0000000,19000.0000000,19000.0000000,1308
TRNFP,D,15/01/04,000000,19299.0000000,19489.0000000,18750.0000000,18900.0000000,757
TRNFP,D,16/01/04,000000,19000.0000000,19220.0000000,18800.0000000,18878.0000000,469
TRNFP,D,19/01/04,000000,19275.0000000,19275.0000000,18600.0000000,18715.0000000,1253
TRNFP,D,20/01/04,000000,18601.0000000,18950.0000000,18500.0000000,18800.0000000,4310
TRNFP,D,21/01/04,000000,18855.0000000,19200.0000000,18805.0000000,19000.0000000,996
TRNFP,D,22/01/04,000000,19099.9900000,19530.0000000,19011.1000000,19400.0000000,2238
TRNFP,D,23/01/04,000000,19400.0000000,19800.0000000,19400.0000000,19730.0000000,1881
TRNFP,D,26/01/04,000000,19889.0000000,19900.0000000,19203.0000000,19414.9900000,1203
TRNFP,D,27/01/04,000000,19200.0000000,19700.0000000,19180.0000000,19575.0000000,3495
TRNFP,D,28/01/04,000000,19550.0000000,19601.0000000,19400.0000000,19458.0000000,1970
TRNFP,D,29/01/04,000000,19400.0000000,19500.0000000,19300.0000000,19486.0000000,694
TRNFP,D,30/01/04,000000,19200.0000000,19450.0000000,18950.0100000,19140.0000000,2079
TRNFP,D,02/02/04,000000,18571.0100000,19100.0000000,18300.0000000,19010.0000000,430
TRNFP,D,03/02/04,000000,19180.0000000,19300.0000000,19100.0000000,19120.0000000,2003
TRNFP,D,04/02/04,000000,19101.0000000,19574.0000000,19000.0000000,19400.0000000,1210
TRNFP,D,05/02/04,000000,19449.9900000,19514.0000000,19275.0500000,19400.0000000,1671
TRNFP,D,06/02/04,000000,19400.0000000,19430.0000000,19110.0000000,19359.0000000,1287
TRNFP,D,09/02/04,000000,19400.0000000,19600.0000000,19350.0000000,19456.0000000,3638
TRNFP,D,10/02/04,000000,19722.9900000,19780.0000000,19456.0000000,19470.0000000,1701
TRNFP,D,11/02/04,000000,19370.0000000,19645.0000000,19361.0000000,19643.0000000,1479
TRNFP,D,12/02/04,000000,19700.0000000,19899.9900000,19690.0000000,19800.0000000,9157
TRNFP,D,13/02/04,000000,19850.0000000,19960.0000000,19802.0000000,19802.0000000,2592
TRNFP,D,16/02/04,000000,19850.0000000,19915.3600000,19700.0000000,19899.9900000,1196
TRNFP,D,17/02/04,000000,19800.0000000,20095.0000000,19800.0000000,20050.0000000,1733
TRNFP,D,18/02/04,000000,20089.0000000,20501.0000000,20000.0000000,20300.0000000,2526
TRNFP,D,19/02/04,000000,20404.0000000,21749.0000000,20304.0000000,21749.0000000,4924
TRNFP,D,20/02/04,000000,21600.0000000,23100.0000000,21011.0200000,23000.0000000,4282
TRNFP,D,24/02/04,000000,23400.0000000,23850.0000000,22000.0000000,23145.0000000,4455
TRNFP,D,25/02/04,000000,23200.0000000,24000.0000000,23006.0000000,23670.0100000,2757
TRNFP,D,26/02/04,000000,23999.9700000,24850.0000000,23700.0000000,24399.9900000,2224
TRNFP,D,27/02/04,000000,24650.0000000,26199.9900000,24550.0000000,25760.0000000,3889
TRNFP,D,01/03/04,000000,26200.0000000,26946.0000000,25871.0000000,26100.0000000,3433
TRNFP,D,02/03/04,000000,26150.0000000,26230.0000000,24851.1100000,25130.0000000,5835
TRNFP,D,03/03/04,000000,25000.0000000,25000.0000000,24050.0000000,24349.9900000,3945
TRNFP,D,04/03/04,000000,24260.0000000,24620.0000000,23800.0000000,24619.0000000,2993
TRNFP,D,05/03/04,000000,24700.0000000,25250.0000000,24501.0000000,24647.9900000,2056
TRNFP,D,09/03/04,000000,25000.0000000,25000.0000000,24450.0000000,24815.0000000,1203
TRNFP,D,10/03/04,000000,24900.0000000,25350.0000000,24525.0500000,24699.0000000,2317
TRNFP,D,11/03/04,000000,24500.0000000,24500.0000000,24210.0000000,24450.0000000,2285
TRNFP,D,12/03/04,000000,24050.0000000,24900.0000000,24050.0000000,24650.0000000,2621
TRNFP,D,15/03/04,000000,24897.0000000,24999.0000000,24500.0000000,24700.0000000,684
TRNFP,D,16/03/04,000000,24700.0000000,25298.9800000,24695.0000000,25298.9800000,1838
TRNFP,D,17/03/04,000000,25300.0000000,25700.0000000,25300.0000000,25650.0000000,3815
TRNFP,D,18/03/04,000000,25710.0000000,26890.0000000,25601.0000000,26500.0000000,2242
TRNFP,D,19/03/04,000000,26500.0000000,27299.0000000,26500.0000000,27150.0000000,2270
TRNFP,D,22/03/04,000000,27250.0000000,27550.0000000,26100.0000000,26350.0000000,3388
TRNFP,D,23/03/04,000000,26050.0000000,26550.0000000,26000.0000000,26539.0600000,2259
TRNFP,D,24/03/04,000000,26750.0000000,26850.0000000,26450.0000000,26550.0000000,1143
TRNFP,D,25/03/04,000000,26680.0000000,26953.0000000,26350.0000000,26450.0000000,684
TRNFP,D,26/03/04,000000,26500.0000000,27100.0000000,26437.0000000,27000.0000000,2015
TRNFP,D,29/03/04,000000,26850.0000000,27200.0000000,26701.0000000,27150.0000000,1117
TRNFP,D,30/03/04,000000,26849.5000000,27490.0000000,26849.5000000,26935.0000000,1636
TRNFP,D,31/03/04,000000,27000.0000000,27230.0000000,26950.0000000,27065.0000000,788
TRNFP,D,01/04/04,000000,27154.9800000,27400.0000000,26900.0000000,27350.0000000,842
TRNFP,D,02/04/04,000000,27399.0000000,28500.0000000,27399.0000000,27950.0000000,1842
TRNFP,D,05/04/04,000000,28250.0000000,28439.0000000,27500.0000000,28179.8900000,1794
TRNFP,D,06/04/04,000000,28300.0000000,28499.0000000,27500.0000000,27700.0000000,2660
TRNFP,D,07/04/04,000000,27700.0000000,28025.0000000,27550.0000000,27950.0000000,1761
TRNFP,D,08/04/04,000000,27951.0000000,28250.0000000,27850.0000000,28200.0000000,933
TRNFP,D,09/04/04,000000,27800.0100000,28599.9900000,27800.0100000,28570.0000000,1264
TRNFP,D,12/04/04,000000,28645.0000000,29400.0000000,28645.0000000,29200.0000000,1791
TRNFP,D,13/04/04,000000,29100.0000000,29970.0000000,28751.0000000,29099.0000000,2611
TRNFP,D,14/04/04,000000,28505.0100000,29099.0000000,27800.0000000,28177.0000000,2204
TRNFP,D,15/04/04,000000,28350.0000000,28400.0000000,27700.0000000,28100.0000000,1981
TRNFP,D,16/04/04,000000,28199.0000000,28205.0000000,27350.0000000,27350.0000000,955
TRNFP,D,19/04/04,000000,27500.0000000,27777.0000000,27000.0000000,27470.0000000,858
TRNFP,D,20/04/04,000000,27600.0000000,27600.0000000,27200.0000000,27400.0000000,1113
TRNFP,D,21/04/04,000000,27150.0000000,27400.0000000,26815.0000000,27090.0000000,1236
TRNFP,D,22/04/04,000000,27090.0000000,27090.0000000,25800.0000000,26000.0000000,1151
TRNFP,D,23/04/04,000000,26100.0000000,26800.0000000,26100.0000000,26360.0000000,1722
TRNFP,D,26/04/04,000000,26390.0000000,26690.0000000,26382.0000000,26650.0000000,564
TRNFP,D,27/04/04,000000,26350.0000000,26401.0000000,25800.0000000,26100.0000000,745
TRNFP,D,28/04/04,000000,26400.0000000,26463.0000000,26050.0000000,26075.0000000,364
TRNFP,D,29/04/04,000000,25800.0000000,25800.0000000,23200.0000000,24600.0000000,801
TRNFP,D,30/04/04,000000,24501.0000000,25000.0100000,24450.0000000,24650.0000000,881
TRNFP,D,05/05/04,000000,25400.0000000,25750.0000000,24550.0000000,24850.0000000,2091
TRNFP,D,06/05/04,000000,24850.0000000,25100.0000000,23500.0000000,23701.0000000,1036
TRNFP,D,07/05/04,000000,23700.0000000,23700.0000000,21800.0100000,22450.0000000,2847
TRNFP,D,11/05/04,000000,21789.0000000,22488.0000000,20351.0300000,22310.0000000,2864
TRNFP,D,12/05/04,000000,22490.0000000,23550.0000000,22490.0000000,23002.0000000,920
TRNFP,D,13/05/04,000000,23112.0000000,23890.0000000,22700.0000000,23000.0000000,1346
TRNFP,D,14/05/04,000000,23200.0000000,23790.0000000,22799.0000000,23500.0000000,1759
TRNFP,D,17/05/04,000000,23251.1100000,24300.0000000,22701.0500000,24200.0000000,694
TRNFP,D,18/05/04,000000,24250.0000000,24800.0000000,24050.0000000,24790.0000000,1111
TRNFP,D,19/05/04,000000,24600.0000000,25798.9800000,24300.0000000,25500.0000000,1752
TRNFP,D,20/05/04,000000,25501.1100000,25935.0000000,25001.1500000,25935.0000000,524
TRNFP,D,21/05/04,000000,25888.0000000,26300.0000000,25250.0000000,25999.0000000,1359
TRNFP,D,24/05/04,000000,26055.0000000,26500.0000000,25850.0000000,26300.0000000,419
TRNFP,D,25/05/04,000000,26450.0000000,26690.0000000,25250.0000000,25500.0000000,1839
TRNFP,D,26/05/04,000000,25500.0000000,25990.0000000,25100.0000000,25800.0000000,1537
TRNFP,D,27/05/04,000000,25950.0000000,26250.0000000,25450.0000000,25800.0000000,2601
TRNFP,D,28/05/04,000000,24210.0000000,25500.0000000,24150.0100000,24500.0000000,1905
TRNFP,D,31/05/04,000000,24005.5000000,24440.0000000,23800.0000000,23905.0000000,902
TRNFP,D,01/06/04,000000,23325.0100000,24648.9900000,22600.0100000,23000.0000000,2260
TRNFP,D,02/06/04,000000,23999.0000000,23999.0000000,22750.0000000,23685.0000000,3325
TRNFP,D,03/06/04,000000,24000.0000000,24000.0000000,23300.0000000,23899.9900000,1165
TRNFP,D,04/06/04,000000,23650.0000000,24100.0000000,23610.0300000,23800.0000000,365
TRNFP,D,07/06/04,000000,23995.0000000,24000.0000000,23420.0000000,23700.0000000,1002
TRNFP,D,08/06/04,000000,23700.0000000,23980.0000000,23550.0000000,23949.0000000,774
TRNFP,D,09/06/04,000000,23999.9900000,24096.0000000,23725.0000000,23874.9900000,1986
TRNFP,D,10/06/04,000000,23150.0000000,23750.0000000,23150.0000000,23701.0000000,1389
TRNFP,D,11/06/04,000000,23611.0000000,23800.0000000,23505.0000000,23700.0000000,369
TRNFP,D,15/06/04,000000,23400.0000000,23400.0000000,22601.0100000,22990.0000000,2267
TRNFP,D,16/06/04,000000,22400.0000000,22600.0000000,22250.0000000,22600.0000000,1435
TRNFP,D,17/06/04,000000,22996.0000000,24000.0000000,22515.0000000,23900.0000000,3431
TRNFP,D,18/06/04,000000,24050.0000000,25300.0000000,23600.0000000,25000.0000000,1665
TRNFP,D,21/06/04,000000,25200.0000000,26200.0000000,24901.0000000,25900.0000000,2393
TRNFP,D,22/06/04,000000,25400.0000000,25750.0000000,25101.0000000,25250.0000000,368
TRNFP,D,23/06/04,000000,25250.0000000,25701.0000000,25250.0000000,25410.0000000,628
TRNFP,D,24/06/04,000000,25250.0000000,25650.0000000,25250.0000000,25550.0100000,417
TRNFP,D,25/06/04,000000,25301.0200000,25550.0000000,25151.0000000,25499.9900000,220
TRNFP,D,28/06/04,000000,25300.0000000,25399.9900000,24770.0000000,25000.0100000,614
TRNFP,D,29/06/04,000000,25000.0000000,25500.0000000,25000.0000000,25450.0000000,979
TRNFP,D,30/06/04,000000,25589.0000000,26095.0000000,25500.0000000,26094.0000000,1706
TRNFP,D,01/07/04,000000,26200.0000000,27200.0000000,25000.0000000,25500.0000000,4103
TRNFP,D,02/07/04,000000,25101.0000000,25990.0000000,25050.0000000,25800.0000000,1078
TRNFP,D,05/07/04,000000,25500.0000000,26479.9900000,25105.0000000,25450.0000000,1388
TRNFP,D,06/07/04,000000,25450.0000000,26000.0000000,25251.0000000,25450.0000000,887
TRNFP,D,07/07/04,000000,24900.0000000,25500.0000000,24900.0000000,25390.0000000,1167
TRNFP,D,08/07/04,000000,25389.0000000,25400.0000000,24350.0000000,24740.0000000,1720
TRNFP,D,09/07/04,000000,24900.0000000,24900.0000000,24000.0000000,24226.0000000,1773
TRNFP,D,12/07/04,000000,24747.0000000,25000.0000000,24300.0000000,24800.0000000,1323
TRNFP,D,13/07/04,000000,25000.0000000,25350.0000000,24950.0000000,25299.9900000,919
TRNFP,D,14/07/04,000000,25000.0000000,25450.0000000,24750.0000000,25000.0000000,1167
TRNFP,D,15/07/04,000000,25350.0000000,25500.0000000,25205.0000000,25500.0000000,2495
TRNFP,D,16/07/04,000000,25200.0000000,25300.0000000,25000.0000000,25240.0000000,2060
TRNFP,D,19/07/04,000000,25460.0000000,25999.9900000,25415.0000000,25950.0000000,2329
TRNFP,D,20/07/04,000000,25950.0000000,26149.9900000,25100.0000000,25188.8800000,2325
TRNFP,D,21/07/04,000000,25590.0000000,25600.0000000,24950.0000000,25249.0000000,1425
TRNFP,D,22/07/04,000000,25000.0000000,25000.0000000,24451.0000000,24699.0000000,805
TRNFP,D,23/07/04,000000,24970.0000000,24970.0000000,24700.0000000,24964.0000000,348
TRNFP,D,26/07/04,000000,25100.0000000,25450.0000000,23950.0100000,23950.0100000,684
TRNFP,D,27/07/04,000000,24000.0000000,24190.0000000,23460.0000000,23500.0000000,2628
TRNFP,D,28/07/04,000000,23600.0000000,23700.0000000,21600.0000000,21800.0000000,3898
TRNFP,D,29/07/04,000000,22600.0000000,22860.0000000,21700.0100000,22600.0000000,1176
TRNFP,D,30/07/04,000000,23000.0000000,23240.0000000,22700.0000000,23240.0000000,441
TRNFP,D,02/08/04,000000,23350.0000000,23769.9800000,23350.0000000,23650.0000000,872
TRNFP,D,03/08/04,000000,23220.0000000,23700.0000000,23220.0000000,23500.0000000,881
TRNFP,D,04/08/04,000000,23000.0000000,23700.0000000,23000.0000000,23637.0000000,809
TRNFP,D,05/08/04,000000,23500.0000000,24000.0000000,23251.0000000,23589.0000000,743
TRNFP,D,06/08/04,000000,23550.0000000,23680.0000000,23500.0000000,23650.0000000,320
TRNFP,D,09/08/04,000000,24000.0000000,24290.0000000,23470.0000000,23740.0000000,494
TRNFP,D,10/08/04,000000,23500.0000000,23700.0000000,23400.0000000,23500.0000000,360
TRNFP,D,11/08/04,000000,23400.0000000,23490.0000000,23300.0000000,23380.0000000,1788
TRNFP,D,12/08/04,000000,23005.0000000,24900.0000000,22000.0000000,22250.0000000,3704
TRNFP,D,13/08/04,000000,22390.0000000,22650.0000000,22022.0000000,22570.0000000,1843
TRNFP,D,16/08/04,000000,22600.0000000,22820.0000000,22326.0000000,22701.0100000,837
TRNFP,D,17/08/04,000000,22799.9900000,22849.0000000,22649.0000000,22700.0000000,1032
TRNFP,D,18/08/04,000000,22920.0000000,22920.0000000,22202.0000000,22489.8000000,1765
TRNFP,D,19/08/04,000000,22350.0000000,22600.0000000,22301.0000000,22464.9000000,577
TRNFP,D,20/08/04,000000,22499.0000000,22650.0000000,22450.0100000,22480.0000000,1057
TRNFP,D,23/08/04,000000,22255.0000000,22490.0000000,22250.0000000,22479.9900000,392
TRNFP,D,24/08/04,000000,22600.0000000,22745.0000000,22510.0000000,22600.0000000,364
TRNFP,D,25/08/04,000000,22500.0000000,22750.0000000,22360.0000000,22699.0000000,875
TRNFP,D,26/08/04,000000,22677.0000000,22988.9900000,22677.0000000,22900.0000000,1637
TRNFP,D,27/08/04,000000,23199.0000000,23680.0000000,22952.0000000,23600.0000000,1622
TRNFP,D,30/08/04,000000,23401.0000000,23847.9000000,23401.0000000,23630.0000000,585
TRNFP,D,31/08/04,000000,23500.0000000,24600.0000000,23500.0000000,24600.0000000,1871
TRNFP,D,01/09/04,000000,24600.0000000,24950.0000000,24158.0000000,24950.0000000,1036
TRNFP,D,02/09/04,000000,25000.0000000,25300.0000000,24502.0000000,25150.0000000,1214
TRNFP,D,03/09/04,000000,25100.0000000,25100.0000000,24900.0000000,25010.0100000,838
TRNFP,D,06/09/04,000000,25050.0000000,25200.0000000,24920.0000000,25100.0000000,716
TRNFP,D,07/09/04,000000,25000.0000000,25400.0000000,25000.0000000,25150.0000000,1240
TRNFP,D,08/09/04,000000,25150.0000000,25400.0000000,25104.0000000,25104.0000000,634
TRNFP,D,09/09/04,000000,25140.0000000,25279.0000000,24999.0000000,25279.0000000,556
TRNFP,D,10/09/04,000000,25190.0000000,25600.0000000,25190.0000000,25600.0000000,566
TRNFP,D,13/09/04,000000,25735.0000000,25800.0000000,25477.0000000,25800.0000000,792
TRNFP,D,14/09/04,000000,25060.0000000,27000.0000000,25060.0000000,26600.0000000,2956
TRNFP,D,15/09/04,000000,26700.0000000,26999.0000000,26300.0000000,26400.0000000,1505
TRNFP,D,16/09/04,000000,26300.0000000,26700.0000000,26150.0000000,26150.0000000,2041
TRNFP,D,17/09/04,000000,26200.0000000,26600.0000000,26200.0000000,26400.0000000,1000
TRNFP,D,20/09/04,000000,26700.0000000,26900.0000000,26500.0000000,26750.0000000,696
TRNFP,D,21/09/04,000000,26700.0000000,27035.0000000,26676.0000000,27035.0000000,1078
TRNFP,D,22/09/04,000000,27194.0000000,27194.0000000,26508.8800000,26588.8800000,790
TRNFP,D,23/09/04,000000,26600.0000000,26600.0000000,26210.0000000,26370.0000000,2111
TRNFP,D,24/09/04,000000,26550.0000000,26550.0000000,26200.0000000,26398.0000000,1690
TRNFP,D,27/09/04,000000,26400.0000000,26550.0000000,26250.0000000,26280.0000000,478
TRNFP,D,28/09/04,000000,26201.0000000,26201.0000000,25900.0000000,25900.0000000,2619
TRNFP,D,29/09/04,000000,25850.0000000,26290.0000000,25850.0000000,26240.0000000,1607
TRNFP,D,30/09/04,000000,26250.0000000,26330.0000000,25950.0000000,26100.0000000,1564
TRNFP,D,01/10/04,000000,25900.0000000,27500.0000000,25900.0000000,27400.0000000,3120
