Реестр;Дата выплаты;Период;Дивиденд;Доход %
11.10.2022;24.10.2022;2022;51,03 ;32
15.07.2021;29.07.2021;2020;12,55 ;5
16.07.2020;30.07.2020;2019;15,24 ;9
18.07.2019;01.08.2019;2018;16,61 ;8
19.07.2018;02.08.2018;2017;8,04 ;6
20.07.2017;03.08.2017;2016;8,04 ;7
20.07.2016;03.08.2016;2015;7,89 ;6
16.07.2015;30.07.2015;2014;7,20 ;6
17.07.2014;31.07.2014;2013;7,20 ;6
13.05.2013;;2012;5,99 ;5
10.05.2012;;2011;8,97 ;6
12.05.2011;;2010;3,85 ;2
07.05.2010;;2009;2,39 ;2
08.05.2009;;2008;0,36 ;1
08.05.2008;;2007;2,66 ;1
11.05.2007;;2006;2,54 ;2
12.05.2006;;2005;1,50 ;1
<th>Реестр</th>;<th>Дата выплаты</th>;<th>Период</th>;<th>Дивиденд</th>;<th>Доход</th>
11.10.2022;24.10.2022;2022;51,03 ;32
15.07.2021;29.07.2021;2020;12,55 ;5
16.07.2020;30.07.2020;2019;15,24 ;9
18.07.2019;01.08.2019;2018;16,61 ;8
19.07.2018;02.08.2018;2017;8,04 ;6
20.07.2017;03.08.2017;2016;8,04 ;7
20.07.2016;03.08.2016;2015;7,89 ;6
16.07.2015;30.07.2015;2014;7,20 ;6
17.07.2014;31.07.2014;2013;7,20 ;6
13.05.2013;;2012;5,99 ;5
10.05.2012;;2011;8,97 ;6
12.05.2011;;2010;3,85 ;2
07.05.2010;;2009;2,39 ;2
08.05.2009;;2008;0,36 ;1
08.05.2008;;2007;2,66 ;1
11.05.2007;;2006;2,54 ;2
12.05.2006;;2005;1,50 ;1
