Реестр;Дата выплаты;Период;Дивиденд;Доход %
21.12.2022;10.01.2023;2022;256,00 ;7
21.12.2022;10.01.2023;2021;537,00 ;14
21.12.2021;11.01.2022;2021;340,00 ;6
05.07.2021;14.07.2021;2020;213,00 ;4
18.12.2020;31.12.2020;2020;46,00 ;1
10.07.2020;22.07.2020;2019;350,00 ;7
20.12.2019;10.01.2020;2019;192,00 ;4
09.07.2019;19.07.2019;2018;155,00 ;3
21.12.2018;11.01.2019;2018;95,00 ;2
11.07.2018;23.07.2018;2017;130,00 ;4
22.12.2017;12.01.2018;2017;85,00 ;3
10.07.2017;21.07.2017;2016;120,00 ;5
23.12.2016;12.01.2017;2016;75,00 ;3
12.07.2016;25.07.2016;2015;112,00 ;5
24.12.2015;14.01.2016;2015;65,00 ;3
14.07.2015;27.07.2015;2014;94,00 ;4
26.12.2014;19.01.2015;2014;60,00 ;3
15.07.2014;29.07.2014;2013;60,00 ;3
15.08.2013;;2013;50,00 ;3
13.05.2013;;2012;50,00 ;3
12.11.2012;;2012;40,00 ;3
11.05.2012;;2011;75,00 ;5
06.05.2011;;2010;59,00 ;4
07.05.2010;;2009;52,00 ;4
08.05.2009;;2008;50,00 ;4
08.05.2008;;2007;42,00 ;2
11.05.2007;;2006;38,00 ;2
11.05.2006;;2005;33,00 ;2
12.05.2005;;2004;28,00 ;4
07.05.2004;;2003;24,00 ;3
12.05.2003;;2002;19,50 ;4
08.05.2002;;2001;15,00 ;3
14.05.2001;;2000;8,00 ;3
14.05.1999;;1998;0,25 ;1
20.04.1998;;1997;0,22 ;1
<th>Реестр</th>;<th>Дата выплаты</th>;<th>Период</th>;<th>Дивиденд</th>;<th>Доход</th>
21.12.2022;10.01.2023;2022;256,00 ;7
21.12.2022;10.01.2023;2021;537,00 ;14
21.12.2021;11.01.2022;2021;340,00 ;6
05.07.2021;14.07.2021;2020;213,00 ;4
18.12.2020;31.12.2020;2020;46,00 ;1
10.07.2020;22.07.2020;2019;350,00 ;7
20.12.2019;10.01.2020;2019;192,00 ;4
09.07.2019;19.07.2019;2018;155,00 ;3
21.12.2018;11.01.2019;2018;95,00 ;2
11.07.2018;23.07.2018;2017;130,00 ;4
22.12.2017;12.01.2018;2017;85,00 ;3
10.07.2017;21.07.2017;2016;120,00 ;5
23.12.2016;12.01.2017;2016;75,00 ;3
12.07.2016;25.07.2016;2015;112,00 ;5
24.12.2015;14.01.2016;2015;65,00 ;3
14.07.2015;27.07.2015;2014;94,00 ;4
26.12.2014;19.01.2015;2014;60,00 ;3
15.07.2014;29.07.2014;2013;60,00 ;3
15.08.2013;;2013;50,00 ;3
13.05.2013;;2012;50,00 ;3
12.11.2012;;2012;40,00 ;3
11.05.2012;;2011;75,00 ;5
06.05.2011;;2010;59,00 ;4
07.05.2010;;2009;52,00 ;4
08.05.2009;;2008;50,00 ;4
08.05.2008;;2007;42,00 ;2
11.05.2007;;2006;38,00 ;2
11.05.2006;;2005;33,00 ;2
12.05.2005;;2004;28,00 ;4
07.05.2004;;2003;24,00 ;3
12.05.2003;;2002;19,50 ;4
08.05.2002;;2001;15,00 ;3
14.05.2001;;2000;8,00 ;3
14.05.1999;;1998;0,25 ;1
20.04.1998;;1997;0,22 ;1
