Реестр;Дата выплаты;Период;Дивиденд;Доход %
12.01.2023;26.01.2023;2022;20,39 ;6
11.07.2022;25.07.2022;2021;23,63 ;7
11.10.2021;25.10.2021;2021;18,03 ;3
15.06.2021;29.06.2021;2020;6,94 ;2
15.06.2020;29.06.2020;2019;18,07 ;5
11.10.2019;25.10.2019;2019;15,34 ;4
17.06.2019;01.07.2019;2018;11,33 ;3
09.10.2018;23.10.2018;2018;14,58 ;4
02.07.2018;16.07.2018;2017;6,65 ;2
10.10.2017;24.10.2017;2017;3,83 ;2
03.07.2017;17.07.2017;2016;5,98 ;2
27.06.2016;11.07.2016;2015;11,75 ;4
29.06.2015;13.07.2015;2014;8,21 ;4
08.07.2014;22.07.2014;2013;12,85 ;6
06.05.2013;;2012;8,05 ;4
21.09.2012;;2011;4,08 ;2
04.05.2012;;2011;3,45 ;2
21.04.2011;;2010;2,76 ;2
29.04.2010;;2009;2,30 ;1
30.04.2009;;2008;1,92 ;2
16.04.2008;;2007;1,60 ;1
23.05.2007;;2006;1,33 ;1
<th>Реестр</th>;<th>Дата выплаты</th>;<th>Период</th>;<th>Дивиденд</th>;<th>Доход</th>
12.01.2023;26.01.2023;2022;20,39 ;6
11.07.2022;25.07.2022;2021;23,63 ;7
11.10.2021;25.10.2021;2021;18,03 ;3
15.06.2021;29.06.2021;2020;6,94 ;2
15.06.2020;29.06.2020;2019;18,07 ;5
11.10.2019;25.10.2019;2019;15,34 ;4
17.06.2019;01.07.2019;2018;11,33 ;3
09.10.2018;23.10.2018;2018;14,58 ;4
02.07.2018;16.07.2018;2017;6,65 ;2
10.10.2017;24.10.2017;2017;3,83 ;2
03.07.2017;17.07.2017;2016;5,98 ;2
27.06.2016;11.07.2016;2015;11,75 ;4
29.06.2015;13.07.2015;2014;8,21 ;4
08.07.2014;22.07.2014;2013;12,85 ;6
06.05.2013;;2012;8,05 ;4
21.09.2012;;2011;4,08 ;2
04.05.2012;;2011;3,45 ;2
21.04.2011;;2010;2,76 ;2
29.04.2010;;2009;2,30 ;1
30.04.2009;;2008;1,92 ;2
16.04.2008;;2007;1,60 ;1
23.05.2007;;2006;1,33 ;1
