Реестр;Дата выплаты;Период;Дивиденд;Доход %
20.07.2022;03.08.2022;2021;10497,36 ;10
19.07.2021;02.08.2021;2020;9224,28 ;6
20.10.2020;03.11.2020;2019;11612,20 ;9
20.07.2019;02.08.2019;2018;10705,95 ;7
10.07.2018;24.07.2018;2017;7578,27 ;5
19.09.2017;03.10.2017;2017;3875,49 ;3
20.07.2017;03.08.2017;2016;4296,48 ;3
20.07.2016;03.08.2016;2015;823,31 ;1
20.07.2015;03.08.2015;2014;757,87 ;1
20.07.2014;04.08.2014;2013;724,21 ;1
30.05.2013;;2012;685,10 ;1
24.05.2012;;2011;716,58 ;2
24.05.2011;;2010;314,73 ;1
28.05.2010;;2009;250,39 ;1
28.05.2009;;2008;236,78 ;2
26.05.2008;;2007;258,45 ;1
<th>Реестр</th>;<th>Дата выплаты</th>;<th>Период</th>;<th>Дивиденд</th>;<th>Доход</th>
20.07.2022;03.08.2022;2021;10497,36 ;10
19.07.2021;02.08.2021;2020;9224,28 ;6
20.10.2020;03.11.2020;2019;11612,20 ;9
20.07.2019;02.08.2019;2018;10705,95 ;7
10.07.2018;24.07.2018;2017;7578,27 ;5
19.09.2017;03.10.2017;2017;3875,49 ;3
20.07.2017;03.08.2017;2016;4296,48 ;3
20.07.2016;03.08.2016;2015;823,31 ;1
20.07.2015;03.08.2015;2014;757,87 ;1
20.07.2014;04.08.2014;2013;724,21 ;1
30.05.2013;;2012;685,10 ;1
24.05.2012;;2011;716,58 ;2
24.05.2011;;2010;314,73 ;1
28.05.2010;;2009;250,39 ;1
28.05.2009;;2008;236,78 ;2
26.05.2008;;2007;258,45 ;1
