Реестр;Дата выплаты;Период;Дивиденд;Доход %
09.10.2022;21.10.2022;2022;45,00 ;5
05.05.2022;23.05.2022;2021;43,77 ;5
11.10.2021;25.10.2021;2021;27,67 ;2
07.05.2021;24.05.2021;2020;23,74 ;2
12.10.2020;26.10.2020;2020;11,82 ;2
08.05.2020;25.05.2020;2019;18,10 ;2
10.10.2019;24.10.2019;2019;14,23 ;2
06.05.2019;22.05.2019;2018;16,81 ;2
10.10.2018;24.10.2018;2018;9,25 ;1
03.05.2018;18.05.2018;2017;8,00 ;2
10.10.2017;24.10.2017;2017;6,95 ;2
02.05.2017;18.05.2017;2016;7,00 ;2
11.10.2016;25.10.2016;2016;6,90 ;2
04.05.2016;19.05.2016;2015;6,90 ;2
06.10.2015;20.10.2015;2015;6,60 ;2
05.05.2015;20.05.2015;2014;5,20 ;2
27.10.2014;;2014;5,10 ;2
29.04.2014;;2013;4,49 ;2
16.09.2013;;2013;3,40 ;1
21.03.2013;;2012;3,86 ;2
10.09.2012;;2012;3,00 ;1
23.03.2012;;2011;3,50 ;1
08.09.2011;;2011;2,50 ;1
22.03.2011;;2010;2,50 ;1
09.09.2010;;2010;1,50 ;1
22.03.2010;;2009;1,75 ;1
20.04.2009;;2008;1,52 ;2
24.07.2008;;2008;1,00 ;1
10.04.2008;;2007;1,52 ;1
03.09.2007;;2007;0,83 ;1
05.04.2007;;2006;1,10 ;1
<th>Реестр</th>;<th>Дата выплаты</th>;<th>Период</th>;<th>Дивиденд</th>;<th>Доход</th>
09.10.2022;21.10.2022;2022;45,00 ;5
05.05.2022;23.05.2022;2021;43,77 ;5
11.10.2021;25.10.2021;2021;27,67 ;2
07.05.2021;24.05.2021;2020;23,74 ;2
12.10.2020;26.10.2020;2020;11,82 ;2
08.05.2020;25.05.2020;2019;18,10 ;2
10.10.2019;24.10.2019;2019;14,23 ;2
06.05.2019;22.05.2019;2018;16,81 ;2
10.10.2018;24.10.2018;2018;9,25 ;1
03.05.2018;18.05.2018;2017;8,00 ;2
10.10.2017;24.10.2017;2017;6,95 ;2
02.05.2017;18.05.2017;2016;7,00 ;2
11.10.2016;25.10.2016;2016;6,90 ;2
04.05.2016;19.05.2016;2015;6,90 ;2
06.10.2015;20.10.2015;2015;6,60 ;2
05.05.2015;20.05.2015;2014;5,20 ;2
27.10.2014;;2014;5,10 ;2
29.04.2014;;2013;4,49 ;2
16.09.2013;;2013;3,40 ;1
21.03.2013;;2012;3,86 ;2
10.09.2012;;2012;3,00 ;1
23.03.2012;;2011;3,50 ;1
08.09.2011;;2011;2,50 ;1
22.03.2011;;2010;2,50 ;1
09.09.2010;;2010;1,50 ;1
22.03.2010;;2009;1,75 ;1
20.04.2009;;2008;1,52 ;2
24.07.2008;;2008;1,00 ;1
10.04.2008;;2007;1,52 ;1
03.09.2007;;2007;0,83 ;1
05.04.2007;;2006;1,10 ;1
