Date,flag
01-03-2012,0
01-03-2013,0
01-06-2016,0
01-08-2012,0
01-09-2014,0
01-10-2014,0
02-01-2015,0
02-02-2023,-1
02-03-2012,0
02-03-2020,0
02-04-2012,0
02-07-2014,1
02-09-2014,0
03-02-2020,0
03-03-2014,0
03-03-2015,0
03-10-2015,1
04-03-2022,0
04-05-2012,0
04-08-2014,0
04-08-2015,0
04-08-2017,0
04-10-2013,0
04-11-2014,0
05-02-2018,0
05-07-2012,0
06-02-2013,0
06-07-2012,0
07-03-2013,1
07-03-2020,0
07-09-2021,0
07-10-2016,0
07-11-2012,0
08-11-2014,0
09-09-2014,-1
09-10-2012,0
09-10-2015,-1
09-11-2012,0
10-09-2014,0
10-10-2013,0
11-06-2013,0
11-07-2022,0
11-09-2014,1
11-12-2012,0
12-03-2013,0
12-04-2012,0
12-05-2012,0
12-09-2014,-1
12-10-2016,0
12-11-2013,0
13-05-2013,0
13-09-2012,0
13-11-2017,0
13-12-2016,0
14-03-2012,0
14-08-2014,0
14-09-2015,0
15-01-2013,0
15-04-2014,0
15-05-2012,1
15-08-2012,0
15-12-2017,0
16-01-2015,-1
16-02-2016,0
16-04-2012,0
16-06-2014,0
17-01-2013,0
17-01-2015,0
17-02-2014,0
17-08-2016,0
17-12-2012,0
17-12-2019,0
18-01-2023,0
18-04-2012,0
18-05-2016,-1
18-06-2012,0
19-02-2013,0
19-03-2012,0
19-03-2019,0
19-07-2018,-1
19-07-2021,0
19-08-2014,0
19-08-2019,0
19-08-2020,0
19-09-2014,0
19-12-2013,-1
20-02-2013,0
20-06-2012,0
20-06-2019,0
20-07-2012,0
20-08-2013,0
20-08-2014,0
21-05-2012,0
21-06-2012,0
21-06-2018,0
21-07-2014,0
21-09-2012,0
21-10-2013,0
22-01-2014,1
22-01-2015,0
22-08-2012,0
22-10-2014,0
22-10-2018,-1
22-12-2016,0
23-03-2012,0
23-03-2018,0
23-04-2013,0
23-05-2014,0
23-09-2014,0
24-04-2016,0
24-04-2018,1
24-05-2018,0
24-10-2014,0
24-12-2012,0
25-01-2016,0
25-03-2013,0
25-07-2017,-1
25-09-2012,0
25-12-2012,2
26-06-2014,0
26-07-2012,0
26-09-2012,0
26-11-2013,-2
26-12-2012,0
27-01-2014,0
27-04-2012,0
27-04-2022,-1
27-06-2012,0
27-11-2012,1
28-01-2020,0
28-05-2012,1
28-05-2013,0
28-06-2013,-1
28-08-2015,0
28-11-2012,1
28-11-2014,-1
28-11-2015,0
29-03-2021,0
29-05-2012,1
29-05-2018,0
29-07-2020,0
29-08-2014,-1
29-08-2017,-2
29-11-2022,0
30-05-2013,0
30-07-2012,0
30-08-2017,0
30-08-2018,0
30-10-2013,0
31-05-2012,0
31-05-2013,0
31-07-2012,1
31-07-2014,-1
31-08-2012,-2
31-10-2022,0
31-12-2013,0
