Date,flag
01-04-2016,-1
01-10-2014,0
02-04-2013,0
02-06-2014,0
03-10-2012,-1
04-06-2014,0
05-02-2014,0
05-02-2020,0
05-06-2013,0
06-08-2014,0
07-06-2013,-2
07-08-2014,0
08-09-2014,0
08-12-2014,0
09-09-2014,0
10-12-2015,0
11-01-2018,0
11-01-2022,0
11-07-2012,0
11-09-2017,0
12-07-2012,0
12-08-2014,0
13-03-2012,0
14-11-2012,1
15-09-2014,0
16-01-2013,0
16-01-2014,0
17-02-2015,0
17-07-2014,0
17-09-2012,0
17-09-2014,0
19-02-2014,0
19-03-2013,1
19-11-2013,1
20-08-2012,0
21-05-2012,0
21-05-2014,0
22-07-2014,0
23-05-2014,0
24-09-2014,0
26-12-2019,0
27-05-2015,0
28-06-2017,0
28-08-2012,0
30-03-2012,0
30-06-2014,0
