Date,flag
01-03-2011,0
01-08-2011,0
01-11-2012,0
02-04-2016,0
02-08-2019,0
04-02-2015,0
04-03-2022,0
04-04-2007,0
04-04-2011,0
04-06-2010,0
05-05-2010,0
05-06-2018,0
05-09-2013,0
05-11-2013,0
06-04-2022,-1
06-11-2012,0
07-03-2013,-2
07-06-2012,0
08-04-2009,0
08-04-2019,0
09-06-2008,0
09-09-2014,0
09-11-2010,0
09-11-2012,0
10-01-2013,0
10-08-2012,-2
10-09-2012,0
10-09-2013,0
10-10-2013,0
11-01-2011,-1
11-03-2011,1
11-06-2010,0
11-10-2012,0
11-11-2010,1
12-01-2010,0
12-02-2013,0
12-03-2010,-2
12-08-2008,0
12-11-2010,1
12-11-2012,0
12-12-2012,0
13-01-2016,-1
13-07-2012,0
13-08-2010,-2
13-10-2009,0
13-11-2010,0
13-11-2013,-1
13-12-2015,0
14-01-2014,0
14-02-2019,0
14-03-2013,0
14-05-2010,1
14-07-2014,-1
14-08-2012,0
14-11-2006,-2
14-11-2007,-2
14-12-2020,0
15-02-2011,0
15-07-2014,0
15-11-2011,0
16-10-2012,0
16-12-2021,1
17-04-2012,0
17-07-2014,-1
17-12-2010,-1
18-06-2010,1
18-09-2013,0
18-12-2013,0
19-01-2017,0
19-02-2015,0
19-03-2009,0
19-05-2016,0
19-05-2017,0
19-10-2004,-1
19-11-2012,0
19-11-2013,0
19-12-2012,0
20-01-2020,1
20-04-2018,0
20-06-2019,0
20-07-2011,0
20-07-2012,0
20-08-2008,0
20-09-2022,0
20-11-2013,0
21-03-2014,-1
21-06-2013,1
21-09-2011,0
21-12-2010,0
22-01-2009,0
22-01-2013,0
22-05-2014,0
22-10-2013,0
23-08-2007,-2
23-09-2008,0
23-12-2010,0
23-12-2013,1
24-01-2013,0
24-09-2021,0
24-10-2014,0
25-09-2013,0
25-11-2019,0
26-01-2017,0
26-06-2006,-1
26-06-2012,0
26-06-2017,1
26-07-2010,0
26-09-2019,0
27-01-2014,0
27-02-2013,0
27-05-2014,0
27-09-2013,0
27-10-2022,0
27-12-2013,0
28-04-2022,0
28-05-2019,0
28-08-2012,0
28-10-2021,0
28-12-2011,0
29-03-2007,-2
29-05-2017,0
29-06-2012,1
29-09-2006,-1
30-05-2013,0
30-07-2009,0
30-07-2014,-1
30-10-2008,0
31-01-2020,-1
31-10-2012,0
