Date,flag
01-02-2013,0
01-03-2012,0
01-03-2013,0
01-04-2022,0
01-05-2014,0
01-07-2013,0
01-07-2014,0
01-08-2012,-2
01-08-2014,1
01-09-2014,0
01-11-2012,-2
02-01-2021,0
02-03-2005,0
02-03-2012,0
02-04-2012,0
02-04-2013,0
02-04-2020,0
02-05-2012,-2
02-05-2021,0
02-07-2012,0
02-07-2013,0
02-09-2019,0
02-10-2019,0
02-12-2013,0
03-02-2015,0
03-03-2005,0
03-03-2014,0
03-03-2022,-2
03-04-2013,0
03-05-2006,2
03-06-2012,0
03-07-2014,0
03-08-2012,0
03-08-2022,0
03-09-2014,2
03-12-2012,0
04-02-2014,1
04-03-2012,0
04-03-2014,0
04-04-2013,0
04-05-2012,0
04-06-2013,0
04-06-2014,0
04-07-2012,-1
04-08-2014,0
04-09-2014,0
04-10-2004,0
05-02-2013,0
05-02-2014,0
05-04-2013,0
05-05-2012,0
05-06-2013,0
05-06-2014,2
05-06-2021,0
05-09-2020,0
06-02-2013,0
06-02-2014,-1
06-03-2013,-1
06-04-2012,0
06-06-2012,0
06-07-2012,0
06-08-2014,0
06-10-2014,-1
06-12-2021,0
07-02-2020,0
07-03-2013,1
07-03-2014,2
07-04-2017,0
07-06-2012,0
07-07-2014,0
07-07-2022,0
07-08-2020,0
07-09-2012,0
07-10-2016,1
07-12-2012,1
08-01-2014,0
08-02-2014,0
08-02-2021,0
08-03-2013,0
08-04-2014,0
08-06-2006,0
08-06-2012,0
08-07-2013,0
08-07-2022,0
08-08-2012,1
08-08-2014,0
08-09-2014,0
08-10-2012,0
08-11-2012,0
09-03-2023,0
09-04-2014,1
09-06-2012,0
09-06-2014,0
09-08-2014,0
09-09-2014,0
09-11-2012,0
09-12-2014,0
09-12-2022,0
10-01-2023,0
10-02-2021,0
10-07-2012,0
10-07-2013,-1
10-09-2013,0
10-09-2014,0
10-09-2019,-1
10-10-2012,0
10-11-2022,0
11-01-2023,0
11-02-2014,0
11-03-2014,-1
11-04-2012,0
11-04-2013,1
11-06-2014,0
11-07-2012,0
11-07-2014,0
11-08-2014,1
11-09-2013,0
11-10-2013,0
11-10-2014,0
11-11-2013,0
11-12-2012,0
12-02-2014,0
12-04-2016,0
12-08-2014,0
12-09-2014,-1
12-11-2012,0
12-11-2013,0
12-12-2012,0
12-12-2014,0
13-01-2014,0
13-02-2013,3
13-02-2014,0
13-05-2013,0
13-06-2013,2
13-07-2014,0
13-11-2012,0
13-11-2013,0
13-11-2019,0
14-01-2014,0
14-03-2022,0
14-03-2023,0
14-05-2018,0
14-07-2006,0
14-07-2014,0
14-08-2014,0
14-09-2004,-1
14-10-2014,0
15-01-2013,0
15-03-2022,-1
15-05-2013,0
15-05-2014,0
15-06-2012,2
15-07-2014,0
15-08-2014,0
15-09-2004,0
15-10-2018,0
15-11-2004,0
16-04-2012,0
16-04-2013,-1
16-05-2014,0
16-06-2014,0
16-07-2013,2
16-07-2014,0
16-09-2004,0
16-09-2014,0
16-09-2022,0
16-10-2013,0
16-11-2012,0
16-11-2014,0
16-12-2004,0
17-01-2013,0
17-02-2021,0
17-03-2014,0
17-04-2012,0
17-06-2010,0
17-06-2014,0
17-07-2006,0
17-07-2012,0
17-07-2014,-2
17-09-2012,0
17-09-2013,0
17-09-2014,0
17-10-2012,0
17-11-2004,0
17-12-2012,0
18-01-2013,0
18-02-2020,0
18-04-2012,0
18-04-2013,0
18-05-2009,0
18-05-2014,0
18-05-2015,0
