Date,flag
01-03-2013,0
01-09-2014,0
02-03-2022,-1
02-07-2014,0
02-10-2013,-1
03-12-2013,0
05-05-2014,0
05-07-2012,0
06-03-2023,0
07-07-2012,0
07-08-2013,0
08-02-2016,0
09-04-2014,0
09-06-2016,-2
10-08-2014,0
11-10-2013,0
12-04-2014,0
13-02-2014,0
14-03-2022,0
14-04-2014,0
14-08-2012,0
15-03-2022,-1
15-03-2023,0
15-05-2012,-2
15-07-2014,0
16-04-2012,0
16-05-2013,0
16-09-2014,0
16-11-2022,0
17-04-2012,0
17-05-2012,1
17-10-2012,0
17-11-2021,0
18-02-2014,0
19-02-2014,0
19-12-2012,0
20-04-2015,0
20-12-2012,0
22-07-2014,0
23-03-2012,0
23-09-2014,0
25-12-2012,0
26-05-2014,0
27-02-2023,0
27-09-2012,0
28-01-2013,1
28-03-2012,0
28-04-2014,2
28-05-2013,0
28-08-2013,0
28-09-2013,0
29-08-2014,0
30-05-2013,-1
30-09-2013,0
30-10-2013,0
31-10-2013,0
