flag;title;topic;tags;date
2.0;РЖД разрешит пассажирам путешествовать с автомобилями;Экономика;Бизнес;2012/05/23
1.0;РЖД впервые перевезла пассажиров с личными автомобилями;Экономика;Бизнес;2012/11/27
0.0;"В Махачкале задержали лидера дагестанского ""Яблока""";Россия;Политика;2012/12/27
0.0;Немецкий рэпер присоединил Израиль к Палестине;Мир;Политика;2013/01/14
0.0;Глава ФСФР сравнил Россию с нефтяным индексом;Экономика;Госэкономика;2013/01/14
1.0;Две трети доходов российских верфей обеспечили военные;Экономика;Госэкономика;2013/01/14
2.0;Производителям российских мультфильмов снизят налоги;Экономика;Госэкономика;2013/01/15
-2.0;Пакистан обвинил Индию в убийстве военнослужащего в Кашмире;Мир;Политика;2013/01/16
-2.0;"В Европе запретили полеты ""Лайнеров мечты""";Экономика;Бизнес;2013/01/17
1.0;"Прохоров продаст ""Газпрому"" энергетическую компанию";Экономика;Бизнес;2013/01/17
-1.0;Греф обвинил министров в незнании правил ВТО;Экономика;Госэкономика;2013/01/17
-1.0;Airbus в 2012 году уступил Boeing лидерство по числу поставок;Экономика;Бизнес;2013/01/17
-1.0;В США проверят производителей комплектующих для «Лайнеров мечты»;Экономика;Бизнес;2013/01/22
0.0;Брат Уго Чавеса рассказал о планах возвращения президента в Венесуэлу;Мир;Политика;2013/01/22
1.0;Крупнейший ритейлер России станет партнером Сочи-2014;Экономика;Бизнес;2013/01/22
0.0;Bloomberg назвал трех кандидатов на пост главы Банка России;Экономика;Госэкономика;2013/01/24
2.0;Embraer продала США самолетов на 4 миллиарда долларов;Экономика;Бизнес;2013/01/24
-1.0;Кремль отказался обсуждать с США свои отношения с оппозицией;Россия;Политика;2013/01/25
2.0;РЖД перестала брать с пассажиров деньги за страховку;Экономика;Бизнес;2013/01/25
-2.0;Беспорядки в Египте привели к жертвам;Мир;Политика;2013/01/26
0.0;Российские машиностроители отказались от помощи государства;Экономика;Госэкономика;2013/01/29
-1.0;Экономисты назвали условия исчерпания Резервного фонда;Экономика;Госэкономика;2013/01/29
-1.0;Катар потратит миллиард евро на восстановление греческой промышленности;Экономика;Госэкономика;2013/01/30
0.0;Правозащитники опросили 200 очевидцев событий на Болотной;Россия;Политика;2013/01/30
-1.0;Boeing уличили в осведомленности о неполадках на «Лайнерах мечты»;Экономика;Бизнес;2013/01/30
-2.0;В КНДР введено военное положение;Мир;Политика;2013/01/31
-2.0;Квартальная прибыль Facebook сократилась в пять раз;Экономика;Бизнес;2013/01/31
-1.0;Уволенным после слияния с «Роснефтью» топ-менеджерам ТНК-ВР раздадут «золотые парашюты»;Экономика;Бизнес;2013/02/01
-1.0;Следственный комитет вызвал Марию Гайдар по делу СПС;Россия;Политика;2013/02/01
0.0;Россия проведет саммит «Большой восьмерки» в Сочи;Экономика;Госэкономика;2013/02/04
-1.0;Инициатора отставки Белых обвинили в самоуправстве;Россия;Политика;2013/02/05
-1.0;Кремль и правительство разошлись во взглядах на интернет-петиции;Россия;Политика;2013/02/05
-1.0;Депутат пожаловался на преференции для компании Тимченко;Экономика;Бизнес;2013/02/06
-2.0;Крупнейший сталелитейщик мира получил гигантский годовой убыток;Экономика;Бизнес;2013/02/06
-1.0;Директор фонда Навального назвал причину обыска у себя дома;Россия;Политика;2013/02/07
0.0;Джордж Лукас попросил разрешения продать долю в Disney;Экономика;Бизнес;2013/02/07
1.0;Минтранс предложил нанять двести иностранных пилотов;Экономика;Госэкономика;2013/02/07
1.0;ЦБ начал год со скупки долларов и евро;Экономика;Рынки;2013/02/07
0.0;Кирсан Илюмжинов пойдет на выборы в парламент Калмыкии;Россия;Политика;2013/02/08
-1.0;Суд санкционировал домашний арест Удальцова;Россия;Политика;2013/02/09
0.0;Движение «Наши» превратят во «Всероссийское сообщество молодежи»;Россия;Политика;2013/02/11
-1.0;США предложат России вдвое сократить ядерное вооружение;Мир;Политика;2013/02/11
-1.0;Жириновский пообещал выгнать курильщиков из партии;Россия;Политика;2013/02/12
-1.0;Барак Обама оценил помощь Мали в 50 миллионов долларов;Мир;Политика;2013/02/12
-2.0;Доходность Резервного фонда в 2012 году составила меньше процента;Экономика;Госэкономика;2013/02/13
0.0;КС одобрил основные положения закона о митингах;Россия;Политика;2013/02/14
-1.0;Спасенный государством Байкальский ЦБК заставили повысить зарплаты;Экономика;Бизнес;2013/02/14
0.0;В Таиланде поставили рекорд по вращению хулахупа ;Из жизни;Достижения;2013/02/14
2.0;Продажи PepsiCo в 2012 году превысили 178 миллионов долларов в день;Экономика;Бизнес;2013/02/14
-1.0;Deutsche Bahn засудит канадцев за плохие поезда;Экономика;Бизнес;2013/02/14
0.0;Обама даст иммигрантам восемь лет на легализацию;Мир;Политика;2013/02/17
0.0;Британцев предупреждали о попадании конины в мясопродукты два года назад;Экономика;Бизнес;2013/02/18
0.0;Володин будет проводить с партиями предвыборные встречи;Россия;Политика;2013/02/19
-1.0;В России запретят выпускать новые социальные карты;Экономика;Госэкономика;2013/02/19
-1.0;«Росузник» сообщил о задержании нового фигуранта «болотного дела»;Россия;Политика;2013/02/20
-1.0;В Петербурге запретили митинговать на Дворцовой площади;Россия;Политика;2013/02/20
-1.0;Вице-президент США посоветовал американцам запасаться ружьями;Мир;Политика;2013/02/20
-1.0;Статью Белковского про РПЦ проверят на экстремизм;Россия;Политика;2013/02/20
-2.0;Потери бюджета от фирм-однодневок оценили в триллион рублей;Экономика;Госэкономика;2013/02/21
0.0;Член Общественной палаты РФ решил проверить диплом Навального;Россия;Политика;2013/02/21
1.0; Развозжаева досрочно выпустили из карцера ;Россия;Политика;2013/02/21
1.0;Прохоров продал долю в Polyus Gold за 3,6 миллиарда долларов;Экономика;Бизнес;2013/02/22
-1.0;Лукашенко запретил приватизацию хлебозаводов и мясокомбинатов;Экономика;Госэкономика;2013/02/22
1.0;«Напиток олигархов» вернулся в Россию;Экономика;Бизнес;2013/02/22
0.0;Кремль опроверг назначение Глазьева главой Центробанка;Экономика;Госэкономика;2013/02/22
2.0;Китай вложился в строительство студенческих общежитий в Великобритании;Экономика;Госэкономика;2013/02/25
0.0;Медведев не нашел оснований для новой «холодной войны»;Россия;Политика;2013/02/26
1.0;Россия и США нашли решение проблемы ПРО;Россия;Политика;2013/02/26
-1.0;Yahoo! раскритиковали за запрет на удаленную работу;Экономика;Бизнес;2013/02/26
0.0;Организаторы «Социального марша» попросили площадку поменьше;Россия;Политика;2013/02/26
0.0;Россельхознадзор обнаружил в России сосиски с европейской кониной;Экономика;Бизнес;2013/02/27
0.0;Чиновники назвали три способа контроля над приватизированными компаниями;Экономика;Госэкономика;2013/02/27
0.0;Уснувший на заседании судья устроился в золотодобывающую компанию;Экономика;Бизнес;2013/02/27
-2.0;Банк России предупредил о потере своей независимости;Экономика;Госэкономика;2013/02/27
2.0;«Газпром» и Китай до конца года подпишут соглашение по поставкам газа;Экономика;Бизнес;2013/02/27
0.0;В Словении сменилось правительство;Мир;Политика;2013/02/28
2.0;Усманов заработает полмиллиарда долларов на продаже акций Mail.ru Group;Экономика;Бизнес;2013/02/28
2.0;США пообещали 60 миллионов долларов сирийским повстанцам;Мир;Политика;2013/02/28
0.0;Президент внес в Госдуму новый закон о выборах;Россия;Политика;2013/03/01
1.0;Российский бизнес установил новый рекорд по займам за рубежом;Экономика;Бизнес;2013/03/01
-1.0;Росстат и Минфин разошлись в оценке дефицита бюджета;Экономика;Госэкономика;2013/03/01
0.0;Конкурс «Мисс Россия» выиграла студентка из Междуреченска;Из жизни;Достижения;2013/03/03
0.0;Закрыли дело Лоскутова об оскорблении полковника полиции ;Россия;Политика;2013/03/04
-1.0;На армию султаната Сулу обрушилась малайзийская авиация;Мир;Политика;2013/03/05
0.0;Законопроект о родственниках менеджеров госкомпаний внесен в правительство;Экономика;Бизнес;2013/03/06
0.0;Профильный комитет Сената США одобрил кандидатуру главы ЦРУ;Мир;Политика;2013/03/06
-1.0;Южная Корея пригрозила военным ударом по КНДР;Мир;Политика;2013/03/06
-1.0;На депутата Госдумы Олега Михеева завели дело;Россия;Политика;2013/03/07
2.0;Еврокомиссия одобрила слияние «Роснефти» и ТНК-ВР ;Экономика;Бизнес;2013/03/08
0.0;В тульском гараже собрали «тачку Джеймса Бонда»;Наука и техника;Техника;2013/03/11
-1.0;Представитель Яровой обвинил The New Times в публикации недостоверной информации;Россия;Политика;2013/03/11
0.0;Кандидата в депутаты сняли с выборов за использование логотипов соцсетей;Россия;Политика;2013/03/11
0.0;Британские поп-звезды сыграли концерт на высоте 13 километров;Из жизни;Достижения;2013/03/11
1.0;Собственники «Яндекса» продадут акций на 600 миллионов долларов;Экономика;Бизнес;2013/03/12
0.0;Forbes подсчитал кремлевские зарплаты;Россия;Политика;2013/03/12
2.0;Акции «Полюс Золота» на ММВБ-РТС выросли благодаря британским индексам;Экономика;Рынки;2013/03/12
1.0;Чиновники заставят «Евраз» и «Северсталь» построить ТЭЦ с помощью внеплановых проверок;Экономика;Бизнес;2013/03/14
-1.0;Британского депутата задержали после пьяной драки;Мир;Политика;2013/03/15
0.0;Утилизационный сбор с российских машин и иномарок выравняют к лету;Экономика;Госэкономика;2013/03/15
0.0;СМИ узнали сумму выплат Литвиненко за работу на МИ-6;Мир;Политика;2013/03/17
1.0;Минфин избавит мелких инвесторов от налогов;Экономика;Госэкономика;2013/03/18
2.0;Дальневосточным производствам в «чистом поле» пообещали налоговые льготы;Экономика;Госэкономика;2013/03/18
0.0;«Единая Россия» определилась с главой комиссии по этике;Россия;Политика;2013/03/19
-1.0;Возбуждено дело о халатности при усыновлении Максима Кузьмина;Россия;Политика;2013/03/19
-1.0;Немцы пригрозили закрытием кипрских банков навечно;Экономика;Госэкономика;2013/03/20
0.0;Рогозин протянул миру «стальной кулак в лайковой перчатке»;Россия;Политика;2013/03/20
0.0;Авторы новой пенсионной формулы рассказали о пенсиях в 23 тысячи рублей;Экономика;Госэкономика;2013/03/25
0.0;Концепцию новой пенсионной формулы внесли в правительство;Экономика;Госэкономика;2013/03/26
0.0;Смоленский депутат выиграл суд у малолетних узников фашизма;Россия;Политика;2013/03/26
0.0;Глава комиссии по этике попросил не удивляться его высоким доходам;Россия;Политика;2013/03/26
0.0;Сенатор Малкин решил уйти из Совета Федерации;Россия;Политика;2013/03/26
0.0;Обама выбрал Джулию Пирсон главой Секретной службы;Мир;Политика;2013/03/26
-1.0;Банк HSBC закрыл фонд Hermitage Capital;Экономика;Бизнес;2013/03/26
0.0;Навальный выложил в интернет документы по делу «Кировлеса»;Россия;Политика;2013/03/27
-2.0;Кипрских чиновников заподозрили в выводе средств за границу;Мир;Политика;2013/03/27
-2.0;Полиция уличила «дочку» «Газпрома» в уклонении от уплаты налогов;Экономика;Бизнес;2013/03/28
0.0;Демушкин сравнил кодекс для чеченцев с бусидо;Россия;Политика;2013/03/29
1.0;На Tele2 нашлись еще два претендента;Экономика;Бизнес;2013/03/29
