Date,Category,Title,Text
24 фев 10:34,Политика,Британия объявила о новых санкциях против России в годовщину спецоперации,"Лондон увеличил «давление на российские элиты», банки и оборонные предприятия, в том числе «Росатом». Под ограничения также попали мать Алины Кабаевой, вице-премьер Новак, сын Дмитрия Козака и гендиректор Nord Stream AG"
19 фев 04:20,Экономика,Власти Чехии сообщили о нулевом импорте российского газа в январе,Газохранилища Чехии заполнены на 84%. Стране удалось снизить потребление газа на 28% и сэкономить 850 млн куб. м
17 фев 15:11,Политика,Путин увидел в шапке Миллера приметы Соловья-разбойника,NO TEXT
15 фев 12:26,Экономика,Транзит российского газа через Украину за день увеличился почти на 15%,NO TEXT
03 фев 10:10,Экономика,«Газпром» увеличил транзит газа через Украину,"Прокачка газа через ГИС «Суджа» составила 30,7 млн куб. м — на 4% больше, чем днем ранее"
01 фев 10:03,Политика,«Газпром» увеличил транзит газа через Украину,"На 1 февраля через ГИС «Суджа» прокачано 29,4 млн куб. м по сравнению с 24,5 млн куб. м днем ранее, сообщили в компании. С января «Газпром» лишь сокращал объем прокачки через Украину"
19 янв 10:37,Экономика,«Газпром» сократил транзит газа через Украину,Подтвержденный объем транзита российского газа через Украину в Европу сократился за сутки почти на четверть
17 янв 11:33,Экономика,«Газпром» опять сократил прокачку газа через Украину,NO TEXT
11 янв 11:21,Политика,В Астане заявили об отсутствии официальных предложений о газовом союзе,NO TEXT
10 янв 13:32,Экономика,Пятая часть расходов бюджета-2022 пришлась на декабрь,"Расходы бюджета за год выросли на 26%, следует из данных Минфина. Их пик пришелся на декабрь: было профинансировано 22% годовых трат, в том числе часть расходов 2023 года. Дефицит составил 3,3 трлн руб., это ниже уровня пандемии"
10 янв 09:28,Экономика,«Коммерсантъ» узнал о росте добычи нефти в России по итогам года,NO TEXT
06 янв 15:05,Экономика,«Газпром» вновь сократил прокачку газа через Украину,Объем суточного транзита газа в Европу через территорию Украины сократился более чем на 5%. Двумя дня ранее снижение превысило 10%
04 янв 15:08,Экономика,«Газпром» обновил рекорд суточных поставок газа в Китай,NO TEXT
04 янв 13:40,Политика,«Газпром» сократил суточную прокачку газа через Украину на 10%,"Объем суточного транзита газа через Украину упал с 42,2 млн до 37,8 млн куб. м, сообщили в «Газпроме». О причинах снижения транзита в компании не рассказали"
31 дек 2022 22:01,Политика,В России ввели лимит цен на газ для СП «Газпрома» с Wintershall и OMV,Запрет на покупку «Газпромом» газа у СП с немецкой Wintershall Dea и австрийской OMV в конце декабря ввел президент Владимир Путин в ответ на ограничительные меры западных стран
29 дек 2022 00:16,Экономика,Bloomberg сообщил о «самом низком» уровне экспорта газа из России в ЕС,"Сейчас газ идет в Европу только через один из пунктов пересечения границы России с Украиной и по одной из веток «Турецкого потока». На этом фоне «Газпром» наращивает поставки газа на азиатский рынок, пишет Bloomberg"
28 дек 2022 16:41,Экономика,Миллер объявил о начале работы над проектом газового хаба в Турции,NO TEXT
23 дек 2022 12:48,Политика,Кремль назвал ответом недружественным странам указ о закупках «Газпрома»,NO TEXT
22 дек 2022 20:27,Экономика,«Газпрому» запретили закупки у СП с Wintershall и OMV по цене выше лимита,Владимир Путин подписал соответствующий указ. Правительство должно будет в течение 10 дней установить предельные цены
05 дек 2022 16:45,Экономика,RWE начала разбирательство против «Газпрома» из-за недопоставок газа,"В конце ноября иск к «Газпрому» из-за недопоставки газа подал крупнейший в Германии покупатель российского газа — Uniper. Немецкий импортер VNG сообщил Handelsblatt, что рассматривает «все варианты» для устранения ущерба"
05 дек 2022 15:19,Политика,Долг «Молдовагаза» перед «Газпромом» достиг $43 млн,NO TEXT
04 дек 2022 14:20,Политика,Премьер Молдавии сообщила о резервах газа на два месяца,NO TEXT
30 ноя 2022 18:33,Экономика,«Газпром» после иска Uniper заявил о неправомерности требований компании,"«Газпром экспорт» не нарушал контракты с немецкой Uniper, заявили в компании. Ранее энергокомпания ФРГ подала иск к «Газпрому» на €11,6 млрд с требованием возместить убытки за недопоставку газа"
28 ноя 2022 10:41,Экономика,«Газпром» решил не снижать поставки газа через Украину,«Газпром» получил от Молдавии средства за «осевший на территории Украины газ» и не будет сокращать прокачку через газоизмерительную станцию «Суджа»
28 ноя 2022 07:52,Политика,«Коммерсантъ» узнал о планах по консервации оборудования для Nord Stream,"После консервации все оборудование оставят на компрессорных станциях «Портовая» и «Славянская», которые подавали газ в трубопроводы «Северный поток» и «Северный поток-2», в случае необходимости его смогут запустить в короткие срок"
23 ноя 2022 09:15,Политика,Вице-премьер Молдавии назвал «осевший» на Украине газ резервами Кишинева,"Кишинев и Киев отвергли обвинения «Газпрома», утверждавшего, что на Украине остается часть газа, направленного транзитом в Молдавию. Премьер Спыну указал, что Молдавия накопила объем топлива, не позволяющий ее шантажировать"
22 ноя 2022 19:55,Экономика,ОЭСР оценила эффекты от продолжительной нехватки газа в Европе,"Организация экономического сотрудничества и развития прогнозирует, что рост мировой экономики замедлится в 2023 году до 2,2%, а еврозоны — до 0,5%. Если дефицит газа в Европе приобретет более острый характер, ВВП еврозоны снизится"
22 ноя 2022 17:47,Политика,На Украине ответили на обвинения «Газпрома» в пропаже газа для Молдавии,"«Газпром» заявил, что часть предназначенного для Молдавии газа «оседает» на Украине, и пригрозил сократить поставки. В Киеве утверждают, что часть газа возвращается в форме виртуального реверса"
22 ноя 2022 14:27,Политика,«Газпром» пригрозил сократить объем транзита газа через Украину,"«Газпром» заметил, что через украинско-молдавскую границу проходит меньше газа, чем поставляется через границу Украины и России. Накопленный объем «оседания газа» на территории Украины компания оценила в 52,52 млн куб. м"
16 ноя 2022 19:06,Политика,"Главой Минэкономики Молдавии станет депутат, обвинявший Кремль в шантаже",NO TEXT
15 ноя 2022 18:31,Экономика,«Газпром» сократил экспорт в страны дальнего зарубежья почти вдвое,NO TEXT
08 ноя 2022 17:40,Политика,Приднестровье пожаловалось Москве на отбор газа Молдавией,"Молдавия незаконно отбирает больше газа, чем может потратить, и судьба его неизвестна, заявили в Тирасполе. Письма по этому поводу власти Приднестровья направили, в частности, президенту России и в «Газпром»"
08 ноя 2022 13:17,Политика,Берлин провел переговоры с Wintershall Dea после данных о российском газе,"Немецкие Spiegel и ZDF сообщили, что газ, добываемый Wintershall Dea и «Газпромом» в России, может быть использован в военных целях на Украине. После этого власти Германии начали переговоры с компанией, передает Reuters"
07 ноя 2022 22:30,Финансы,Bloomberg узнал о просьбе властей США к банкам продолжить работу в России,"Минфин и Госдеп США негласно призывают банки продолжать оказание базовых услуг «Газпрому», «ФосАгро» и «Уралкалию». В министерстве напоминают, что санкции против России не затрагивают гумпомощь, поставки продовольствия и удобрений"
31 окт 2022 23:11,Политика,Путин сообщил о допуске «Газпрома» к месту взрывов на «Северных потоках»,"Президент указал, что на месте подрывов были обнаружены две воронки по 5 м глубиной, а разрыв трубы составляет почти 260 м. Случившееся он называл «очевидным терактом»"
28 окт 2022 18:21,Политика,"Канада ввела санкции против Новака, Мантурова и Шульгинова","Канада ввела новые санкции против России. Персональные ограничения коснулись в том числе членов руководства «Газпрома», а из компаний в список вошли ЛУКОЙЛ и СОГАЗ"
25 окт 2022 13:17,Политика,Кремль не увидел оснований для волнения после просьбы Турции по газу,"Вопросы, связанные с поставками газа, находятся на повестке дня, контакты продолжаются, сообщил Песков. Ранее Турция попросила у «Газпрома» отсрочку платежей за газ, а также скидки на топливо"
25 окт 2022 08:51,Политика,Турция попросила «Газпром» об отсрочке платежей за газ,"Анкара также добивается скидки на газ, заявил глава Минфина Нуреддин Небати, отметив, что ожидает «хороших новостей»"
24 окт 2022 21:53,Политика,В Финляндии зафиксировали пять сейсмических событий в районе Nord Stream,"По данным сейсмологов, 20 октября в районе прохождения газопровода «Северный поток» в Финском заливе произошло четыре сейсмических события магнитудой от 1,3 до 1,8. На следующий день зафиксировано еще одно — магнитудой 1,4"
16 окт 2022 11:29,Экономика,Миллер предупредил об остановке поставок газа в ЕС при потолке цен,"Глава «Газпрома» пояснил, что введение лимита нарушит действующие контракты, подобные действия повлекут за собой прекращение поставок. Пока страны Евросоюза не согласовали потолок цен"
14 окт 2022 00:15,Экономика,На возможных новых нитках «Турецкого потока» установят российские турбины,NO TEXT
12 окт 2022 22:08,Политика,Венгрия не поддержит новые санкции против России в сфере энергетики,"Глава венгерского МИДа также заявил, что по итогам переговоров с «Газпромом» страна достигла окончательной договоренности об отсрочке платежей за российский газ"
12 окт 2022 15:41,Экономика,Глава «Газпрома» предупредил о замерзших городах в Европе зимой,"Алексей Миллер допустил, что Европа переживет эту зиму, но к следующей у нее почти не останется газа в хранилищах, энергетический кризис пришел «не на короткий период»"
10 окт 2022 21:03,Политика,"«Газпром» напомнил, что в 2015 году у «Северного потока» нашли взрыватель","В 2015 году у «Северного потока» уже находили беспилотник, который используют для уничтожения мин. Как заявили в «Газпроме», он принадлежал НАТО. Между тем власти Швеции говорили, что это их аппарат. Страна в альянс не входила"
10 окт 2022 03:03,Политика,МИД Венгрии напомнил об отоплении зимой благодаря договору с «Газпромом»,NO TEXT
