Date,Category,Title,Text
02 фев 17:15,Политика,Европарламент призвал ЕС принять десятый пакет санкций против России,NO TEXT
18 янв 21:14,Политика,"В ЛУКОЙЛе заявили, что не поставляли топливо с НПЗ в Бургасе на Украину","Власти Болгарии никогда не обращались к руководству группы ЛУКОЙЛ с просьбой о поставках топлива с его дочернего НПЗ на Украину, заверили в российской компании"
29 ноя 2022 12:15,Политика,La Repubblica узнала о плане властей Италии национализировать НПЗ ЛУКОЙЛа,"На завод ISAB приходится около 20% всех перерабатывающих мощностей Италии. Еще в сентябре власти исключали национализацию завода. Но теперь, по данным La Repubblica, он будет передан в распоряжение Минфина"
31 окт 2022 21:06,Экономика,Алекперов назвал Азербайджан и Туркменистан «окном» для российской нефти,"Экс-глава ЛУКОЙЛа посчитал, что Россия может начать развивать сотрудничество в нефтегазовой сфере с Азербайджаном и Туркменистаном. Он пояснил, что речь, в частности, идет о морской разведке нефти"
11 июл 2022 08:00,Финансы,Аналитики оценили снижение дивидендной доходности российского рынка,NO TEXT
27 апр 2022 03:27,Политика,Власти Италии опровергли данные о планах национализировать завод ЛУКОЙЛа,"Ранее источники Reuters сообщили о планах Рима «временно национализировать» НПЗ ЛУКОЙЛа, если будут введены санкции в отношении нефти из России. В офисе министра промышленности сообщили, что такого вопроса нет в повестке"
04 мар 2022 23:34,Политика,НОВАТЭК вслед за ЛУКОЙЛом призвал к дипломатическому решению на Украине,"В компании заявили, что надеются на скорейшее разрешение сложившейся трагической ситуации и сочувствуют тем, кого она коснулась"
07 сен 2021 07:52,Экономика,Глава ЛУКОЙЛа допустил обрушение рынка при нефти по $100 за баррель,"По его мнению, если нефть вновь подорожает выше $100 за баррель, это может вызвать новый обвал рынка"
19 июл 2021 13:54,Экономика,Федун назвал условие снижения цен на бензин в России до 20 руб. за литр,"Если курс евро к рублю понизится хотя бы до 50 руб., можно будет говорить о цене на бензин в 20 руб. за литр, считает Леонид Федун. Однако, по его словам, такой сценарий маловероятен"
29 мар 2021 09:23,Финансы,Глава ВТБ объяснил планы получения проданного ЛУКОЙЛом алмазодобытчика,"ЛУКОЙЛ закрыл сделку по продаже алмазодобытчика «АГД Даймондс» в мае 2017 года, выручив $1,45 млрд. Через три года ФАС потребовала отменить продажу. Позднее ВТБ подал иск о возврате кредита, выданного на покупку предприятия"
19 авг 2020 09:39,Экономика,Главы нефтяных компаний написали Путину об опасности повышения налогов,Главы крупнейших нефтяных компаний пожаловались Владимиру Путину на планы Минфина увеличить налоги на отрасль. Президент поручил вице-премьеру Юрию Борисову представить предложения
29 июл 2020 19:06,Экономика,"Дело по иску ФАС к ЛУКОЙЛу о сделке на $1,45 млрд передали в Москву",NO TEXT
07 мар 2020 04:30,Экономика,В ЛУКОЙЛе оценили потери России от разрыва сделки с ОПЕК,NO TEXT
02 мар 2020 23:10,Экономика,Вице-президент ЛУКОЙЛа предсказал эпоху дешевой нефти до 2040 года,NO TEXT
03 фев 2020 05:00,Финансы,Бумаги «Газпрома» обеспечили четверть всего роста российского рынка акций,"Стремительный рост российского рынка акций в 2019 году на четверть обеспечил взлет котировок «Газпрома», еще больше четверти добавили Сбербанк и ЛУКОЙЛ. В США история схожа — доля крупнейших компаний в росте доходит до 30–40%"
28 янв 2020 19:33,Бизнес,Глава ЛУКОЙЛа заявил о планах инвестировать $100 млрд в следующие 10 лет,NO TEXT
17 дек 2019 15:05,Экономика,ЛУКОЙЛ предупредил о риске снижения потребления бензина для автомобилей,"Спрос на машины в ближайшее десятилетие будет высоким, однако автомобили с традиционными двигателями внутреннего сгорания станут более экономичными"
19 авг 2019 17:46,Финансы,Акции ЛУКОЙЛа подскочили более чем на 5%,Стоимость акций ЛУКОЙЛа на Московской бирже выросла более чем 5% на фоне сообщений о выкупе бумаг у акционеров
20 июн 2019 00:01,Экономика,ЛУКОЙЛ впервые вышел в мировые лидеры по доходности для акционеров,"ЛУКОЙЛ вошел в десятку лидеров ежегодного глобального рейтинга Boston Consulting Group по совокупной акционерной стоимости. Компания щедра к своим акционерам, а кроме того, показывает хороший рост выручки"
19 мар 2019 07:00,Политика,Власти выбрали строителя армейских складов во Владивостоке за ₽26 млрд,"Дмитрий Медведев подписал распоряжение о создании во Владивостоке логистического комплекса Минобороны стоимостью 26 млрд руб. Его построит компания, которая выступает единственным поставщиком топлива для Тихоокеанского флота"
22 окт 2018 07:00,Экономика,"Пенсионные фонды США набрали $1,5 млрд рисковых российских активов","Крупнейшие пенсионные фонды США сохранили потенциально токсичные российские активы на $1,5 млрд. В их портфелях — ОФЗ и бумаги госкомпаний под секторальными санкциями"
30 авг 2018 18:08,Финансы,ЛУКОЙЛ обогнал Сбербанк по капитализации,NO TEXT
19 июл 2018 17:40,Финансы,"ЛУКОЙЛ заявил о планах погасить 11,82% казначейских акций",NO TEXT
21 июн 2018 21:18,Экономика,Алекперов счел невозможной цену на нефть в $100,NO TEXT
29 май 2018 19:57,Финансы,ЦБ выявил причинивших ЛУКОЙЛу ущерб на 146 млн руб. инсайдеров,Проведенная ЦБ проверка выявила факт неправомерного использования инсайдерской информации о продаже валютной выручки ЛУКОЙЛа. Данные проверки направлены ЦБ в правоохранительные органы
