Date,Category,Title,Text
11 янв 2022 00:00,Финансы,АФК «Система» стала основным претендентом на покупку банка «Хоум Кредит»,"Структуры АФК «Система» Владимира Евтушенкова ведут переговоры о покупке банка «Хоум Кредит», рассказали источники РБК. Они близки к завершению, но сейчас на них влияет ситуация в Казахстане, где работает «дочка» банка"
05 фев 2020 00:00,Финансы,Банки и операторы нашли способ борьбы с подменой номеров мошенниками,"Банки будут передавать операторам информацию о контактах с клиентами, которая поможет понять, кто им звонит: сотрудники банка или мошенники. Это должно помочь борьбе с социальной инженерией — самым популярным видом мошенничества"
26 дек 2019 20:21,Финансы,АФК «Система» Евтушенкова полностью вышла из капитала МТС-банка,NO TEXT
11 янв 2018 22:58,Политика,ДНР частично осталась без сотовой связи и обвинила в аварии Украину,"В ДНР пропал сигнал оператора связи «МТС-Украина». Местные власти обвинили в аварии Вооруженные силы Украины. Представитель МТС заявил, что компания не поддерживает сегмент сети, расположенный в непризнанных республиках"
11 сен 2017 20:19,Экономика,S&P пересмотрит рейтинг МТС с возможностью понижения,"S&P поместило рейтинг МТС на пересмотр с возможностью понижения. Это произошло спустя несколько дней после того, как агентство сменило свою оценку с ВВ до ВВ- одного из самых крупных акционеров оператора — АФК «Система»"
28 июн 2017 20:36,Финансы,Fitch и Moody's отреагировали на суд «Роснефти» с АФК «Система»,NO TEXT
01 апр 2016 09:45,Финансы,Акции каких операторов мобильной связи стоит покупать сегодня,Конкуренция на рынке мобильной связи на фоне экономического кризиса сказалась на финансовых показателях сотовых операторов. Как инвесторы могут обернуть эту ситуацию себе на пользу?
10 дек 2015 17:56,Финансы,«ВТБ Капитал» рекомендует покупать ценные бумаги МТС,«ВТБ Капитал» повысил целевые цены по ценным бумагам «МегаФона» и МТС. Банк рекомендует держать бумаги «МегаФона» и покупать МТС
27 май 2015 05:44,Финансы,«ВымпелКом» и МТС создали систему оценки потенциальных заемщиков банков,"Мобильные операторы «ВымпелКом» и МТС запустили пилотные проекты, в которых на основании потребительской информации об абонентах формируют их оценку как потенциальных заемщиков и продают ее банкам, сообщает «Коммерсантъ»"
17 фев 2015 19:17,Политика,СНБО предложили ограничить до 25% долю россиян в мобильных операторах,NO TEXT
08 дек 2014 00:00,Финансы,Ноготков возобновил переговоры с МТС о продаже сети «Связной»,"Максим Ноготков возобновил переговоры с МТС о продаже миноритарной доли ГК «Связной». Контроль над группой должен был перейти ОНЭКСИМу и НПФ «Благосостояние», но, по информации РБК, сделка до сих пор не закрыта."
01 окт 2014 16:06,Бизнес,Арест Евтушенкова не влияет на бизнес МТС,NO TEXT
24 сен 2014 21:08,Экономика,МТС рассказала об условиях возвращения на рынок Узбекистана,"Компания ОАО «Мобильные ТелеСистемы» (МТС) заявила, что возвращается на телекоммуникационный рынок Узбекистана в составе совместного предприятия. Коммерческая эксплуатация сети намечена на 1 декабря 2014 года, говорится в сообщении компании."
17 сен 2014 21:25,Экономика,Стоимость контракта Госдумы с МТС снизится более чем вдвое,NO TEXT
15 сен 2014 22:19,Экономика,МТС подал заявку в ФАС на покупку «Связного»,"Федеральная антимонопольная служба (ФАС) рассматривает заявку ОАО «МТС» на покупку группы компаний «Связной» Максима Ноготкова. В сообщении ФАС от 15 сентября говорится, что ведомство рассмотрело ходатайство и продлевает срок..."
09 сен 2014 20:01,Экономика,Максим Кац подал иск к МТС из-за утечки SMS-переписки,"Популярный блогер, депутат муниципального собрания столичного района Щукино Максим Кац требует от МТС через суд 1 млн руб. из-за утечки своей SMS-переписки. Кац считает, что его сообщения могли получить только от оператора."
09 сен 2014 20:01,Экономика,Максим Кац подал иск к МТС из-за утечки SMS-переписки,NO TEXT
08 сен 2014 19:04,Экономика,"МТС, «Система» и «Магнит» выиграют от новых индексов MSCI","Бенефициарами пересмотра методики расчета глобальных индексов, который планирует MSCI, станут МТС, «Магнит», АФК «Система» и Новатэк. Стоимость их акций увеличится, а спрэд между локальными бумагами и депозитарными расписками уменьшится."
12 авг 2014 04:13,Экономика,МТС и ВымпелКом опасаются открыто выводить украинские «дочки» из Крыма,NO TEXT
07 авг 2014 23:45,Экономика,«МТС-Украина» возобновила работу в Крыму,"Компания «МТС-Украина» возобновила работу в Крыму в 19:30 7 августа. Об этом говорится в сообщении, опубликованном на сайте компании."
06 авг 2014 20:41,Экономика,В Крыму 2 млн абонентов «МТС-Украина» остались без связи,NO TEXT
