Date,Category,Title,Text
27 окт 2022 17:02,Политика,"Михельсон заявил, что эта зима будет для ЕС самой легкой из будущих трех","В 2023 году Европе будет «гораздо сложнее», поскольку к тому времени ее газовые резервы будут исчерпаны, заявил Михельсон"
20 сен 2022 11:00,Экономика,«Коммерсантъ» узнал о планах повысить пошлины на экспорт нефти и газа,"В результате власти рассчитывают получить в бюджет 1,4 трлн руб. в следующем году и 3,15 трлн  руб. — с 2023 по 2025 год. Главным донором станет «Газпром»"
28 апр 2022 14:01,Политика,Несколько районов Польши остались без газа из-за санкций против НОВАТЭКа,"По словам замглавы МВД Польши, несколько десятков небольших населенных пунктов остались без газа из-за санкций против НОВАТЭКа. Компания обеспечивала поставки туда сжиженного природного газа"
06 апр 2022 19:04,Политика,Лондон ввел санкции против игрока «Локомотива» и номера 4 списка Forbes,"Борис Ротенберг приходится сыном совладельцу СМП Банка, «четвертый номер» рейтинга богатейших россиян Леонид Михельсон является главой НОВАТЭКа». Всего британский санкционный список пополнили восемь человек"
04 мар 2022 23:34,Политика,НОВАТЭК вслед за ЛУКОЙЛом призвал к дипломатическому решению на Украине,"В компании заявили, что надеются на скорейшее разрешение сложившейся трагической ситуации и сочувствуют тем, кого она коснулась"
16 дек 2021 09:00,Экономика,Эксперты назвали лидеров по зарплатам среди крупнейших компаний России,"РБК представляет первый ренкинг крупнейших российских компаний реального сектора по уровню средних зарплат, составленный НКР. У лидеров — НОВАТЭКа и «Совкомфлота» — средняя зарплата превысила среднюю по России в пять раз"
28 окт 2021 23:40,Экономика,Глава НОВАТЭКа предсказал тяжелую зиму для рынка газа,"По мнению Михельсона, во втором квартале газ резко подешевеет, но к уровню 2019 года цены не вернутся"
24 сен 2021 13:14,Политика,Кремль заявил о невозможности вмешаться в дело топ-менеджера НОВАТЭКа,NO TEXT
14 дек 2020 09:01,Экономика,Эксперты назвали российские компании с наиболее эффективными инвестициями,"НОВАТЭК и РЖД оказались наиболее эффективными компаниями-инвесторами в России, показал рейтинг эффективности корпоративных инвестиций, впервые составленный агентством НКР. Лидеры рейтинга не уступили ведущим западным корпорациям"
31 янв 2020 20:21,Политика,США сняли санкции с судовой компании — перевозчика СПГ для НОВАТЭКа,Речь идет о компании Cosco Dalian — «дочке» китайской госкомпании Cosco. Под санкциями она находилась с сентября минувшего года
20 янв 2020 08:15,Экономика,СМИ узнали об увеличении доли российского газа в Европе,"По оценкам «Коммерсанта», общая доля поставок двух российских компаний по итогам минувшего года превысила 47% от импорта в страны Евросоюза"
25 ноя 2019 09:50,Экономика,«Коммерсантъ» узнал об обращении Михельсона к Путину из-за «Арктик СПГ-2»,NO TEXT
26 сен 2019 15:52,Финансы,НОВАТЭК отказался от госфинансирования для своего второго СПГ-проекта,NO TEXT
02 авг 2019 10:43,Экономика,СМИ узнали о жалобе Путину от «Газпрома» и НОВАТЭКа на схему надзора ЦБ,"Четыре компании написали письмо президенту России и попросили поддержать идею Минфина об оценке кредитных рисков компаний-заемщиков в ущерб планам ЦБ. Это письмо — фактически попытка надавить на регулятора, пишет «Коммерсантъ»"
20 июн 2019 00:01,Экономика,ЛУКОЙЛ впервые вышел в мировые лидеры по доходности для акционеров,"ЛУКОЙЛ вошел в десятку лидеров ежегодного глобального рейтинга Boston Consulting Group по совокупной акционерной стоимости. Компания щедра к своим акционерам, а кроме того, показывает хороший рост выручки"
28 май 2019 12:33,Финансы,Капитализация НОВАТЭКа превысила 4 трлн руб. на Московской бирже,NO TEXT
08 апр 2019 21:33,Экономика,НОВАТЭК ответил на упрек о потере бюджетом ₽30 млрд из-за «Ямал СПГ»,"В НОВАТЭКе не верят, что запуск «Ямал СПГ» может повлечь за собой вытеснение российского трубопроводного газа из Европы. В «Газпроме» указали, что из-за запуска проекта бюджет России недополучил 30 млрд руб."
14 фев 2019 14:34,Политика,Совладелец НОВАТЭКа прокомментировал возможные новые санкции США,NO TEXT
05 июн 2018 13:33,Политика,Зампред правления НОВАТЭКа станет первым замглавы Минприроды,"Минприроды возвращает должность первого заместителя министра, которую займет заместитель председателя правления НОВАТЭКа Денис Храмов, сообщают источники «Коммерсанта» и РБК. Он уже занимал эту должность три года назад"
20 апр 2018 15:01,Экономика,Совладелец НОВАТЭКа не увидел рисков «серьезных санкций» против компании,NO TEXT
26 июн 2017 15:23,Экономика,НОВАТЭК пообещал стать крупнейшим в мире экспортером СПГ через 10 лет,"НОВАТЭК в ближайшие десять лет планирует стать крупнейшим экспортером сжиженного газа в мире, обогнав Катар. С таким обещанием выступил финансовый директор компании Марк Джетвей, подчеркнув, что санкции США этому не помешают"
29 май 2017 17:18,Финансы,НОВАТЭК привлечет к «Ямал СПГ» €200 млн из Германии и Швеции,NO TEXT
19 май 2017 16:14,Экономика,«Газпром» не стал участвовать в аукционе на Гыданское месторождение,NO TEXT
