Date,Category,Title,Text
14 мар 18:09,Политика,Суд в Германии отклонил иск «Роснефти» из-за внешнего управления «дочек»,"Инстанция сочла, что решение Минэкономики ФРГ было правомерным, поскольку существовал риск невыполнения «дочками» обязательств в энергоснабжении. Российская компания называла решение властей Германии экспроприацией"
09 мар 09:30,Политика,Суд в США выдал ордер на арест «самолета «Роснефти» стоимостью $25 млн,"Минюст США посчитал, что «Роснефть» нарушила экспортные санкции США и выдал ордер на арест Boeing 737-7JU компании стоимостью около $25 млн"
11 янв 21:38,Политика,ЕСПЧ присудил журналистам €15 тыс. за проигранные в России дела,NO TEXT
10 янв 09:28,Экономика,«Коммерсантъ» узнал о росте добычи нефти в России по итогам года,NO TEXT
09 дек 2022 20:55,Политика,BP рассказала о сложностях с продажей доли в «Роснефти»,"Компания BP, которая в феврале 2022 года сообщила об уходе из России, рассказала о сложностях с продажей своей доли в «Роснефти». Компания заверила, что не получает дивидендов и прибыли в России и намерена завершить процесс ухода"
10 ноя 2022 11:21,Политика,В Германии впервые отгрузили норвежскую нефть на бывший НПЗ «Роснефти»,"Власти Германии в сентябре лишили подпавшую под блокирующие санкции ЕС «Роснефть» управления НПЗ в Шведте. Теперь на завод впервые поступила норвежская нефть, которую планируют смешивать с российской, сообщило Минэкономики ФРГ"
16 сен 2022 15:43,Политика,Германия передала «дочку» «Роснефти» в управление регулятору,"Rosneft Deutschland — дочернее предприятие «Роснефти», владеющее долей в нефтеперерабатывающих заводах в Германии"
03 авг 2022 13:40,Политика,Шрёдер объяснил защитой семьи отказ от работы в «Газпроме» и «Роснефти»,"Шрёдер заявил о «непредсказуемом рвении» авторов санкций ЕС, из-за чего в целях защиты семьи он покинул в мае совет директоров «Роснефти» и отказался от должности в «Газпроме»"
21 июл 2022 18:39,Экономика,ЕС разрешит «Роснефти» и «Газпром нефти» перевозить нефть в третьи страны,"Евросоюз смягчает запрет на сделки с рядом российских госкомпаний, включая «Роснефть», «Газпром нефть» и «Совкомфлот». Теперь им разрешается заключать сделки с европейцами по перевозке нефти в третьи страны"
08 июл 2022 17:33,Политика,СБУ заявила об аресте активов «Роснефти» и «Газпрома» на Украине,"По данным СБУ, речь идет об активах российских госкомпаний на Украине на сумму свыше $71 млн. В «Роснефти» опровергали информацию о наличии активов в стране"
07 июл 2022 22:50,Политика,Крупнейший нефтетрейдер решил выйти из проекта «Роснефти»,"Консорциум компаний Vitol и Mercantile & Maritime Energy приобрел долю в проекте «Восток Ойл» в 2021 году. «Роснефть» оценивала стоимость сделки в €3,5 млрд"
18 июн 2022 10:35,Политика,Сечин предупредил о последствиях «энергетического самоубийства» Европы,"По его словам, в результате «навязанных» санкций Европа не может составить конкуренцию США уже не только в политической, но и в экономической сфере. Сечин также подчеркнул, что последствия будут долгосрочными"
18 июн 2022 10:35,Политика,"Сечин заявил об уничтожении основ права, сложившихся после Второй мировой","Санкции уничтожают право на защиту собственности, ведения бизнеса и защиту в суде, считает глава «Роснефти». По его словам, ограничения ставят под угрозу финансовый и промышленный сектора, а как следствие — глобальный рынок"
23 май 2022 12:33,Политика,Экс-глава МИД Австрии вышла из совета директоров «Роснефти»,«Роснефть» поблагодарила Кнайсль за месяцы совместной работы в «сложной пандемической и международной обстановке». Ранее совет директоров покинули экс-канцлер Шрёдер и исполнительный директор Nord Stream 2 AG Варниг
21 май 2022 22:07,Политика,Шольц призвал Шрёдера покинуть все посты в России,Герхард Шрёдер ранее сообщил о невозможности продления своих полномочий в совете директоров «Роснефти». Канцлер Германии призвал его покинуть все посты в России
28 апр 2022 23:00,Экономика,В Индии предложили госкомпаниям подумать о выкупе доли BP в «Роснефти»,"Издание Economic Times сообщило, что индийское правительство уже обратилось с таким предложением к нескольким нефтяным компаниям с госучастием. BP в конце февраля заявила о намерении продать долю в «Роснефти»"
01 апр 2022 12:50,Политика,Кремль назвал неприемлемой идею о национализации «дочек» «Газпрома»,"Национализация дочерних предприятий российских компаний за границей стала бы нарушением международного права, считает Кремль. Ранее Handelsblatt сообщила, что такую идею прорабатывают в Германии"
01 апр 2022 01:29,Политика,Handelsblatt узнал об угрозе национализации дочки «Газпрома» в ФРГ,"По данным источников издания, эта мера может быть принята в случае прекращения поставок энергоносителей из России"
15 мар 2022 20:16,Политика,Крупнейшие нефтяные компании России попали под санкции ЕС,"Закупки нефти, газа, угля и руд из России под запрет ЕС не попали, а вот совершать сделки в Европе не по ресурсным товарам у компаний из списка теперь не получится"
14 мар 2022 18:59,Политика,Reuters узнал о плане ЕС по новым санкциям против нефтяных компаний,"Согласование новых санкций, которые не будут препятствовать покупке нефти у «Роснефти», «Транснефти» и «Газпром нефти», стало причиной переноса публикации новых санкционных списков, сообщает Reuters"
03 мар 2022 20:23,Политика,«Роснефть» ответила на арест яхты «компании Сечина» цитатой из комедии,"В «Роснефти» заявили, что Сечину неизвестно о существовании у него компании, которая владела бы яхтой Amore Vero. Ранее о ее аресте и о том, что компания-владелец принадлежит главе «Роснефти», сообщили власти Франции"
03 мар 2022 16:59,Политика,Власти Франции сообщили об аресте принадлежащей «компании Сечина» яхты,"Яхту арестовали в связи с санкциями, которые Евросоюз ввел против России из-за военной операции на Украине. Как заявили в Минфине Франции, судном владеет компания, основной акционер которой — Игорь Сечин"
03 мар 2022 05:37,Политика,Канада ввела санкции против ключевых сотрудников «Роснефти» и «Газпрома»,"Под ограничения попали десять человек, кто именно — не уточняется. Также Оттава внесла в санкционные списки Мишустина, Медведева, Собянина и Беглова"
03 мар 2022 02:56,Политика,В конгресс США внесли проект о санкциях против всех госкомпаний России,"Санкции предложили ввести против «Газпрома», «Росатома» и «Роснефти», а также «Аэрофлота». Парламентарии обвиняют их в финансировании военной операции на Украине. Инициатива должна лишить их доступа к американскому капиталу."
06 дек 2021 00:30,Политика,Путин отправится с визитом в Индию,NO TEXT
18 ноя 2021 09:00,Экономика,«Газпром» вернул себе лидерство в рейтинге крупнейших компаний России,"«Газпром» в новом рейтинге РБК 500 вновь занял первую позицию, которую год назад уступил «Роснефти». Смена лидера произошла на фоне снижения в пандемию совокупной выручки крупнейших компаний страны, в первую очередь нефтегазовых"
28 окт 2021 14:30,Экономика,Сечин назвал существующий капитализм помехой при поиске выхода из кризиса,"Глава «Роснефти» считает, что проблема — в ограничениях, заложенных в действующей модели капитализма. Чтобы текущий кризис не стал глобальным, необходима координация между всеми участниками экономической системы, отметил он"
05 июн 2021 13:25,Экономика,Сечин призвал перейти на «зеленую» нефть,"По мнению главы «Роснефти», вместо отказа от углеводородов мировому сообществу стоит подумать о прозрачной системе оценки и сертификации. В пример «зеленых баррелей» Сечин привел нефть «Восток Ойл» с содержанием серы 0,01–0,04%"
02 май 2021 15:32,Политика,Два миллиардера и «Роснефть» подали в суд на издателя книги «Люди Путина»,"Иски против издательства HarperCollins подали совладелец «Альфа-Групп» Михаил Фридман и глава совета директоров Альфа-банка Петр Авен, а также бизнесмен Шалва Чигиринский и компания «Роснефть». Ранее иск подал Роман Абрамович"
17 фев 2021 14:57,Политика,Суд приговорил бывшего полпреда президента Ишаева к пяти годам условно,"Бывший полпред президента на Дальнем Востоке и губернатор Хабаровского края Виктор Ишаев получил условный срок по делу о растрате 7,5 млн руб., принадлежавших «Роснефти». Обвинение требовало для него семь лет лишения свободы"
17 фев 2021 10:17,Политика,Суд признал бывшего полпреда президента виновным в растрате,Обвинение запросило для экс-губернатора Хабаровского края и бывшего полпреда президента России Виктора Ишаева семь лет колонии
10 фев 2021 11:16,Политика,Бывшему полпреду президента запросили семь лет колонии за растрату,"Виктор Ишаев обвиняется в растрате денег «Роснефти», в которой бывший губернатор Хабаровского края работал с 2013 года"
