Date,Category,Title,Text
15 мар 13:39,Политика,«Транснефть» нашла взрывчатку у нефтепровода «Дружба» под Брянском,"Станция «Новозыбково» не перекачивает нефть, она используется лишь при пиковых нагрузках. Сотрудники «Транснефти» обнаружили близ нее взрывное устройство. В феврале компания сообщала об обстреле станции со стороны Украины"
06 мар 12:04,Политика,Польша подаст в суд на Россию из-за «Дружбы»,"«Транснефть» объяснила остановку прокачки нефти в Польшу отсутствием оплаты, в Варшаве решили подать в суд и потребовать компенсацию. Польша ранее искала возможность разорвать контракт на поставки без ввода штрафных санкций"
27 фев 16:33,Экономика,Казахстан начал поставку нефти в Германию через Россию,NO TEXT
16 ноя 2022 14:42,Политика,Кремль отказался комментировать приостановку поставок нефти по «Дружбе»,NO TEXT
15 мар 2022 20:16,Политика,Крупнейшие нефтяные компании России попали под санкции ЕС,"Закупки нефти, газа, угля и руд из России под запрет ЕС не попали, а вот совершать сделки в Европе не по ресурсным товарам у компаний из списка теперь не получится"
14 мар 2022 18:59,Политика,Reuters узнал о плане ЕС по новым санкциям против нефтяных компаний,"Согласование новых санкций, которые не будут препятствовать покупке нефти у «Роснефти», «Транснефти» и «Газпром нефти», стало причиной переноса публикации новых санкционных списков, сообщает Reuters"
02 мар 2022 13:59,Экономика,«Транснефть» предупредила о западных санкциях в отношении энергосектора,"В компании, которая сама попала в санкционные списки, заявили, что на Западе готовят новые санкции из-за операции на Украине и они затронут энергетический сектор"
17 ноя 2021 13:07,Экономика,Белоруссия ограничила транзит нефти в Польшу из-за ремонта трубопровода,"На фоне миграционного кризиса поставки нефти в Польшу по белорусскому участку нефтепровода «Дружба» временно прерываются, это связано с ремонтом на одном из участков"
09 июн 2016 18:56,Экономика,«Транснефть» пожаловалась на криминальную обстановку в порту Махачкалы,"«Транснефть» предупредила о том, что конфликты владельцев танкеров с хозяевами нефтяного терминала в порту столицы Дагестана угрожают переориентацией поставок каспийской нефти на Азербайджан и Грузию"
08 фев 2016 23:19,Финансы,"«Транснефть» хранила в лишенном лицензии «Интеркоммерце» 6,6 млрд руб.","В банке «Интеркоммерц», который лишился лицензии в понедельник, держали деньги «Транснефть», «дочки» «Оборонсервиса», Российское авторское общество, а также Всероссийская организация интеллектуальной собственности"
20 апр 2015 00:01,Финансы,"Скачок курса доллара обошелся «Транснефти» в 75,3 млрд руб.","«Транснефть» страховалась от падения доллара с помощью производных инструментов. Чистый убыток от этих операций составил 75,3 млрд руб."
23 сен 2014 17:02,Экономика,«Транснефть» сделает дороже экспорт в восточном направлении,"«Транснефть» предлагает дифференцировать темпы роста тарифов на прокачку нефти по магистральным трубопроводам в зависимости от направления. Стоимость прокачки нефти по восточному направлению будет расти чуть быстрее, а по западному, наоборот, чуть медленнее."
16 сен 2014 16:54,Экономика,Санкции изменили планы компаний по эксплуатации трубы «Транснефти»,"Из-за отсутствия гарантий поставок нефти срок строительства нефтепроводов Заполярье – Пурпе и Куюмба – Тайшет может увеличиться на два-три года, сообщил журналистам пресс-секретарь «Транснефти» Игорь Демин."
01 сен 2014 13:49,Экономика,Глава ЛУКОЙЛа пожаловался Дворковичу на плохое качество нефти,"Курирующий в правительстве вопросы ТЭК вице-премьер РФ Аркадий Дворкович поручил «Транснефти» и профильным ведомствам подумать о возможности такого перераспределения нефтяных потоков, которое позволило бы улучшить качество сырья..."
29 авг 2014 14:34,Экономика,Мобиус попробует заработать на приватизации Новороссийского порта,"Инвестфонд Templeton Russia and East European Fund под управлением инвестора Марка Мобиуса вложил $750 тыс. покупку акций группы «НМТП», которой в ближайшие месяцы предстоит пройти через раздел активов между двумя крупнейшими акционерами и приватизацию 20%-ного госпакета."
29 авг 2014 08:57,Экономика,Власти применят к «Газпрому» и «Роснефти» принцип «качай или плати»,"«Роснефть», «Газпром нефть» и «Газпром» должны представить обновленные графики сдачи нефти и конденсата в трубопроводы Заполярье — Пурпе и Куюмба — Тайшет и подписать с «Транснефтью» договоры, по которым платить за прокачку нефти..."
10 авг 2014 22:27,Экономика,Киев готовит запрет на транзит нефти и газа из России,"Украина 12 августа может запретить транспортировку российских энергоресурсов по своей территории. «Транснефть» готова перейти на альтернативные маршруты поставок, из-за чего конечные цены на нефть для европейских потребителей..."
22 июл 2014 17:01,Экономика,Трубопровод «Транснефти» для экспорта через Балтику восстановил работу,"Магистральный нефтепродуктопровод «Второво-Приморск», перекачка через который была приостановлена после несанкционированного подключения утром 22 июля, восстановил свою работу. Об этом РБК сообщил представитель «Транснефти» Игорь Демин."
15 июл 2014 19:02,Экономика,"Знакомый Ротенбергов выиграл тендер ""Транснефти"" на 7 млрд руб.","Компания ""Евразийский трубопроводный консорциум"" (ЕТК) Александра Карманова, который считается знакомым братьев Аркадия и Бориса Ротенбергов, выиграла очередной тендер ""Транснефти"" на поставку труб большого диаметра на сумму более 7 млрд руб. Компания оставила позади ЧТПЗ, ""Северсталь"", ОМК и ТМК."
02 июл 2014 15:18,Экономика,Правительству понравилась идея раздела крупнейшего порта России,"Правительство России согласилось с идеей раздела активов крупнейшего порта в России Новороссийского морского торгового порта между его основными акционерами: группой ""Сумма"" и ""Транснефтью"". Об этом сообщает агентство Bloomberg, ссылаясь на источники, знакомые с ситуацией вокруг порта."
26 май 2014 16:16,Экономика,"Глава ""Транснефти"" впервые отчитался о своих доходах","Глава ""Транснефти"" Николай Токарев впервые раскрыл информацию о доходах своей семьи. За 2013г. доходы самого Токарева составили 172 млн руб., доходы его супруги - 29,7 млн руб."
05 май 2014 21:57,Экономика,"""Транснефть"" прекратила поставки дизеля на Украину","""Транснефть"" прекратила поставки дизеля через нефтепродуктопровод ""ПрикарпатЗападТранс"" на Украину и в Венгрию из-за неопределенности с собственностью этой трубы, сообщил представитель ""Транснефти"" Игорь Демин."
28 апр 2014 21:45,Экономика,"S&P снизило рейтинги Газпрома, ""Роснефти"" и РЖД","Международное рейтинговое агентство Standard & Poor's снизило рейтинги Москвы, Санкт-Петербурга и ряда крупных российских компаний. В числе организаций, в отношении которых предприняты рейтинговые действия, - Газпром, ""Роснефть"" и ""Транснефть"" и РЖД, говорится в сообщении агентства."
14 апр 2014 08:51,Экономика,Госкомпании не спешат переезжать на Дальний Восток,"Реализация озвученной ранее идеи переезда штаб-квартир части крупных госкомпаний на Дальний Восток задерживается. К переезду готовы только в ""РусГидро"", и даже в этом случае он вряд ли затронет весь центральный аппарат, сообщает газета ""Коммерсантъ""."
